t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.00200;-0.919346;-4.971474;0.003261;-0.915840;-4.972850;-0.010393;-0.922019;-4.975191;-0.004227;0.249996;0.006705;0.239193;-0.004093;0.004579;0.429054
0.01402;-0.906846;-4.971433;0.003263;-0.910131;-4.975241;-0.004151;-0.899786;-4.964149;-0.005344;0.250000;0.000046;0.237754;0.001525;0.010144;0.493184
0.03155;-0.894346;-4.971392;0.003219;-0.886950;-4.964214;-0.004826;-0.903888;-4.958735;-0.004601;0.250000;-0.000879;0.256725;0.010375;0.015851;0.448087
0.05033;-0.881846;-4.971352;0.003076;-0.891812;-4.958775;-0.001906;-0.879466;-4.958663;-0.008703;0.249999;-0.002866;0.241525;0.053899;0.012910;0.674907
0.06942;-0.869346;-4.971313;0.003177;-0.865038;-4.958825;-0.013694;-0.861852;-4.953881;-0.007211;0.250000;0.002007;0.288575;-0.099822;0.018974;0.595176
0.08443;-0.856846;-4.971274;0.003137;-0.847733;-4.953961;-0.004005;-0.852386;-4.962334;0.023108;0.250000;-0.000787;0.282383;0.064126;0.009990;1.144262
0.10098;-0.844351;-4.971234;0.001848;-0.841006;-4.962063;0.024589;-0.840726;-4.971969;0.015397;0.249891;-0.035453;0.227656;0.029623;0.003699;0.776295
0.11700;-0.831854;-4.971211;0.000636;-0.827602;-4.971786;0.012509;-0.830691;-4.959995;0.024792;0.249949;-0.024235;0.262502;-0.057753;0.011277;1.384059
0.13353;-0.819360;-4.971203;-0.001263;-0.817976;-4.959703;0.021044;-0.826290;-4.965218;0.018386;0.249875;-0.037984;0.254367;-0.074972;0.009156;1.125835
0.14933;-0.806864;-4.971219;-0.002725;-0.812478;-4.964976;0.016628;-0.790179;-4.969699;0.011848;0.249926;-0.029227;0.276266;-0.035174;0.016754;0.834934
0.16586;-0.794366;-4.971253;-0.003749;-0.777603;-4.969578;0.007454;-0.791642;-4.953877;0.016085;0.249964;-0.020497;0.251533;-0.087884;0.017588;1.136451
0.18342;-0.781870;-4.971300;-0.005192;-0.780248;-4.953688;0.017173;-0.773840;-4.967381;0.012547;0.249928;-0.028859;0.227921;0.021752;0.008935;1.016378
0.19981;-0.769372;-4.971365;-0.006284;-0.761918;-4.967246;0.010127;-0.771905;-4.966482;0.010102;0.249959;-0.021835;0.238458;-0.048389;0.005501;0.938855
0.22063;-0.756874;-4.971444;-0.007239;-0.758847;-4.966370;0.006998;-0.742509;-4.953949;0.012027;0.249968;-0.019091;0.261173;-0.062078;0.022636;1.103820
0.23871;-0.744376;-4.971534;-0.008441;-0.728984;-4.953811;0.008446;-0.741796;-4.964933;0.013755;0.249950;-0.024055;0.270523;-0.071616;0.007087;1.271744
0.25548;-0.731879;-4.971640;-0.009633;-0.730741;-4.964799;0.010422;-0.718852;-4.967817;0.014373;0.249951;-0.023834;0.221114;-0.066647;0.013577;1.375464
0.27251;-0.719382;-4.971760;-0.010833;-0.706173;-4.967650;0.012093;-0.716500;-4.957034;0.018544;0.249950;-0.024001;0.253597;-0.045596;0.015005;1.683174
0.28854;-0.706887;-4.971895;-0.012397;-0.703910;-4.956810;0.017023;-0.710210;-4.956332;0.016216;0.249915;-0.031272;0.251838;-0.030421;0.015914;1.639384
