t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.00121;0.000000;0.000000;0.000000;0.047627;0.028465;-1.514334;0.047627;0.028465;-1.514334;0.000000;0.000000;0.013495;-0.000867;0.055485;86.764965
0.01633;0.000000;0.000000;0.000000;0.047799;0.025457;-1.515033;0.047799;0.025457;-1.515033;0.000000;0.000000;-0.002652;-0.011929;0.054155;86.804972
0.03300;0.000000;0.000000;0.000000;0.047638;0.028152;-1.512117;0.047638;0.028152;-1.512117;0.000000;0.000000;-0.027804;-0.000987;0.055335;86.637946
0.05057;0.000000;0.000000;0.000000;0.047661;0.027735;-1.513920;0.047661;0.027735;-1.513920;0.000000;0.000000;0.036508;-0.003392;0.055143;86.741231
0.06617;0.000000;0.000000;0.000000;0.047679;0.027452;-1.512212;0.047679;0.027452;-1.512212;0.000000;0.000000;-0.015464;-0.006840;0.055017;86.643353
0.08317;0.000000;0.000000;0.000000;0.047757;0.026077;-1.514248;0.047757;0.026077;-1.514248;0.000000;0.000000;0.013790;0.013230;0.054413;86.760006
0.10050;0.000000;0.000000;0.000000;0.047863;0.024173;-1.510975;0.047863;0.024173;-1.510975;0.000000;0.000000;-0.018785;0.046442;0.053621;86.572509
0.11673;0.000000;0.000000;0.000000;0.048096;0.020291;-1.510203;0.048096;0.020291;-1.510203;0.000000;0.000000;0.026774;-0.016559;0.052201;86.528258
0.13326;0.000000;0.000000;0.000000;0.048101;0.020136;-1.503585;0.048101;0.020136;-1.503585;0.000000;0.000000;-0.011475;-0.034948;0.052145;86.149084
0.14942;0.000000;0.000000;0.000000;0.048229;0.018224;-1.502926;0.048229;0.018224;-1.502926;0.000000;0.000000;-0.014492;-0.058547;0.051557;86.111313
0.16604;0.000000;0.000000;0.000000;0.048291;0.017328;-1.508078;0.048291;0.017328;-1.508078;0.000000;0.000000;-0.016821;-0.013524;0.051305;86.406514
0.18155;0.000000;0.000000;0.000000;0.048314;0.017006;-1.511183;0.048314;0.017006;-1.511183;0.000000;0.000000;-0.007407;-0.059348;0.051220;86.584401
0.19843;0.000000;0.000000;0.000000;0.048171;0.019181;-1.500555;0.048171;0.019181;-1.500555;0.000000;0.000000;-0.017144;0.062755;0.051849;85.975457
0.21503;0.000000;0.000000;0.000000;0.048301;0.017392;-1.498929;0.048301;0.017392;-1.498929;0.000000;0.000000;0.023720;0.001089;0.051337;85.882309
0.23157;0.000000;0.000000;0.000000;0.048176;0.019221;-1.491064;0.048176;0.019221;-1.491064;0.000000;0.000000;0.047864;0.010599;0.051868;85.431691
0.24758;0.000000;0.000000;0.000000;0.048098;0.020231;-1.497912;0.048098;0.020231;-1.497912;0.000000;0.000000;-0.024426;-0.033631;0.052180;85.824013
0.26316;0.000000;0.000000;0.000000;0.047952;0.022183;-1.494523;0.047952;0.022183;-1.494523;0.000000;0.000000;-0.014746;0.006520;0.052835;85.629883
0.28048;0.000000;0.000000;0.000000;0.048025;0.021141;-1.500130;0.048025;0.021141;-1.500130;0.000000;0.000000;-0.004196;-0.030290;0.052473;85.951089
0.29669;0.000000;0.000000;0.000000;0.048193;0.018825;-1.496843;0.048193;0.018825;-1.496843;0.000000;0.000000;0.001891;0.036961;0.051739;85.762810
0.31320;0.000000;0.000000;0.000000;0.047987;0.021703;-1.502352;0.047987;0.021703;-1.502352;0.000000;0.000000;-0.011705;0.086410;0.052667;86.078433
0.33082;0.000000;0.000000;0.000000;0.047675;0.026118;-1.499153;0.047675;0.026118;-1.499153;0.000000;0.000000;-0.030227;-0.026650;0.054361;85.895147
0.34681;0.000000;0.000000;0.000000;0.047859;0.023649;-1.502609;0.047859;0.023649;-1.502609;0.000000;0.000000;-0.009225;-0.070179;0.053383;86.093147
