t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.00596;-0.297128;-4.073622;-1.628356;1.209486;4.741218;-2.200328;1.232604;4.763423;-2.202934;0.249790;0.049197;0.285909;0.115656;8.968470;32.920915
0.02023;-0.300245;-4.135915;-1.609289;1.213822;4.716804;-2.214742;1.224693;4.733085;-2.227515;0.249488;0.076785;0.274597;0.098007;8.999145;35.421748
0.03635;-0.301994;-4.198149;-1.583144;1.211947;4.712188;-2.213086;1.205509;4.707207;-2.218516;0.249038;0.105279;0.233680;0.067144;9.032050;36.404112
0.05243;-0.302173;-4.260452;-1.559466;1.186467;4.707346;-2.209386;1.184910;4.709968;-2.218955;0.249222;0.094711;0.263486;0.193406;9.092846;37.785922
0.06889;-0.300862;-4.322732;-1.535166;1.176544;4.702287;-2.215929;1.169262;4.706628;-2.232114;0.249180;0.097202;0.273150;0.091918;9.148257;39.932161
0.08609;-0.297936;-4.384879;-1.506620;1.179104;4.686412;-2.178977;1.175341;4.691037;-2.175135;0.248869;0.114182;0.235271;0.116737;9.194716;38.303058
0.10272;-0.293505;-4.447178;-1.492292;1.157723;4.657049;-2.160433;1.160869;4.669989;-2.170405;0.249829;0.044398;0.254928;0.079882;9.232440;38.852971
0.11919;-0.288365;-4.509433;-1.482589;1.132378;4.644251;-2.183634;1.147739;4.655440;-2.184321;0.249869;0.038816;0.284577;0.055058;9.276707;40.206285
0.13627;-0.282518;-4.571590;-1.468624;1.133683;4.639249;-2.152399;1.145552;4.653428;-2.142154;0.249729;0.055856;0.270416;0.116984;9.334899;38.590403
0.15257;-0.276045;-4.633754;-1.465988;1.120921;4.632882;-2.118143;1.136770;4.623327;-2.128772;0.249998;0.005336;0.268130;0.073461;9.364272;37.974705
0.17022;-0.269580;-4.695915;-1.468899;1.118763;4.615798;-2.126092;1.132421;4.615682;-2.150309;0.249988;-0.011643;0.262716;0.016391;9.416552;39.041916
