t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.00123;-0.154885;-2.691484;-1.661404;1.564202;5.039515;-2.098942;1.560290;5.045497;-2.110256;0.249653;-0.063253;0.223590;-0.036751;7.924815;25.717313
0.01422;-0.156015;-2.703923;-1.663748;1.552966;5.033284;-2.111662;1.561603;5.048722;-2.098077;0.249809;-0.046875;0.284805;-0.028129;7.940637;24.885251
0.03020;-0.157174;-2.716353;-1.666819;1.555045;5.037510;-2.101865;1.559593;5.042666;-2.088731;0.249673;-0.061423;0.259784;-0.075764;7.946676;24.173782
0.04583;-0.158370;-2.728772;-1.670459;1.552631;5.030532;-2.094705;1.566950;5.020949;-2.094263;0.249540;-0.072801;0.279778;-0.119476;7.939453;24.282201
0.06334;-0.159611;-2.741190;-1.673857;1.560611;5.010055;-2.101345;1.560972;5.015706;-2.110316;0.249599;-0.067969;0.252096;-0.141628;7.945429;25.007231
0.08872;-0.160896;-2.753614;-1.676282;1.554257;5.004510;-2.111736;1.549699;5.038169;-2.127609;0.249796;-0.048493;0.261111;-0.028411;7.977344;25.859164
0.09623;-0.162212;-2.766041;-1.677560;1.542920;5.027330;-2.131802;1.559427;5.036314;-2.130218;0.249943;-0.025564;0.255674;-0.083846;7.990043;25.935389
0.11328;-0.163544;-2.778468;-1.678728;1.552814;5.025805;-2.134681;1.550133;5.024199;-2.133056;0.249953;-0.023350;0.248331;-0.089265;7.988635;26.031076
0.12886;-0.164890;-2.790894;-1.679719;1.543313;5.013343;-2.130371;1.558515;5.012832;-2.127845;0.249966;-0.019830;0.256393;0.053686;7.991762;25.675736
0.14589;-0.166249;-2.803316;-1.681090;1.552039;5.002429;-2.127374;1.562342;5.009525;-2.140298;0.249935;-0.027409;0.245091;0.009431;8.001782;26.310700
0.16340;-0.167625;-2.815740;-1.681738;1.555744;4.999213;-2.139714;1.542951;4.988117;-2.136723;0.249985;-0.012969;0.244855;0.011682;7.989133;26.068701
0.17892;-0.169008;-2.828161;-1.682578;1.536428;4.977900;-2.141265;1.550322;4.983740;-2.150230;0.249975;-0.016809;0.242437;-0.090853;7.998869;26.794484
0.19745;-0.170403;-2.840583;-1.682651;1.543467;4.973298;-2.153161;1.535798;5.001216;-2.156408;0.250000;-0.001460;0.249823;-0.058604;8.025269;27.144238
0.21434;-0.171798;-2.853005;-1.682245;1.529084;4.991128;-2.159588;1.548071;5.009058;-2.179492;0.249994;0.008135;0.242360;-0.063597;8.047980;28.490188
0.23128;-0.173188;-2.865422;-1.680588;1.540819;4.998643;-2.178593;1.530193;4.997875;-2.179994;0.249892;0.035236;0.253817;0.017993;8.045679;28.613853
0.24833;-0.174557;-2.877841;-1.678752;1.522312;4.986539;-2.176618;1.532935;5.003566;-2.176407;0.249883;0.036726;0.276124;0.067518;8.064248;28.513575
0.26434;-0.175903;-2.890264;-1.677126;1.526149;4.993756;-2.175489;1.533597;4.994095;-2.175173;0.249908;0.032505;0.238559;0.018374;8.067558;28.535948
0.28025;-0.177229;-2.902689;-1.675604;1.526519;4.983802;-2.171242;1.533912;4.996084;-2.160263;0.249920;0.030447;0.249844;0.078608;8.081994;27.768889
0.29590;-0.178537;-2.915120;-1.674972;1.526699;4.985287;-2.159370;1.542822;4.987909;-2.179558;0.249986;0.012638;0.259689;0.017858;8.088321;28.910634
0.31348;-0.179836;-2.927547;-1.673242;1.535986;4.978082;-2.177752;1.545814;4.987194;-2.175965;0.249896;0.034593;0.239408;0.036121;8.100679;28.803909
0.32951;-0.181114;-2.939978;-1.671743;1.538691;4.976890;-2.175285;1.524045;4.986753;-2.169784;0.249922;0.029991;0.250532;0.013612;8.108059;28.535682
0.34603;-0.182373;-2.952411;-1.670524;1.517406;4.976998;-2.167083;1.512964;4.983401;-2.175607;0.249948;0.024381;0.235995;0.054020;8.114880;28.939154
0.36256;-0.183618;-2.964845;-1.668918;1.505972;4.973286;-2.175695;1.522575;4.979658;-2.159076;0.249910;0.032118;0.245936;-0.001744;8.125651;28.084004
0.37808;-0.184842;-2.977284;-1.668355;1.516154;4.970020;-2.157815;1.526577;4.967117;-2.172546;0.249989;0.011265;0.231611;0.025231;8.126651;28.888040
0.39461;-0.186059;-2.989722;-1.667035;1.520215;4.957876;-2.174907;1.518733;4.973925;-2.193133;0.249940;0.026400;0.224382;-0.047222;8.144077;30.143193
0.41023;-0.187259;-3.002152;-1.664465;1.510679;4.962678;-2.191333;1.504843;4.962462;-2.217570;0.249764;0.052140;0.276682;0.035985;8.142376;31.690619
0.42725;-0.188426;-3.014568;-1.660645;1.497865;4.953153;-2.210401;1.506373;4.958832;-2.213125;0.249416;0.082006;0.232677;0.143395;8.151531;31.654764
0.44380;-0.189545;-3.026993;-1.656828;1.500476;4.950922;-2.209732;1.494629;4.975233;-2.208779;0.249494;0.076341;0.197337;0.067848;8.177533;31.624508
0.46141;-0.190617;-3.039423;-1.653177;1.487610;4.965701;-2.202262;1.510241;4.969436;-2.202283;0.249537;0.073023;0.236735;0.130356;8.187475;31.461512
0.47748;-0.191644;-3.051863;-1.649997;1.501949;4.958021;-2.195725;1.491792;4.957939;-2.181775;0.249649;0.063590;0.282170;0.131173;8.184796;30.468620
0.49351;-0.192633;-3.064317;-1.648002;1.484732;4.947853;-2.181371;1.496576;4.955771;-2.205231;0.249862;0.039904;0.246230;0.008066;8.196050;31.926864
0.50933;-0.193595;-3.076760;-1.644757;1.488763;4.945087;-2.199242;1.503052;4.960361;-2.198232;0.249604;0.067528;0.264727;0.119773;8.214251;31.711798
0.52570;-0.194518;-3.089211;-1.641815;1.494670;4.948756;-2.194431;1.499760;4.958581;-2.189515;0.249700;0.058835;0.286294;0.076013;8.224204;31.380932
0.54123;-0.195404;-3.101670;-1.639387;1.492396;4.948234;-2.189152;1.486179;4.948699;-2.190783;0.249795;0.048555;0.253992;0.007262;8.224121;31.592673
0.55827;-0.196260;-3.114129;-1.636853;1.479221;4.938937;-2.189214;1.486879;4.952288;-2.184278;0.249777;0.050680;0.239766;0.031376;8.240148;31.365116
0.57523;-0.197085;-3.126594;-1.634702;1.479807;4.942190;-2.179253;1.498909;4.948689;-2.160530;0.249839;0.043012;0.246554;0.100497;8.251459;30.127724
0.59147;-0.197883;-3.139067;-1.633802;1.491521;4.937629;-2.158930;1.487363;4.948689;-2.163252;0.249985;0.013299;0.266009;0.032016;8.261468;30.335233
0.60844;-0.198670;-3.151541;-1.632925;1.480939;4.939109;-2.159770;1.480670;4.963970;-2.162761;0.249973;0.017541;0.230695;0.069631;8.287442;30.357405
0.62538;-0.199446;-3.164016;-1.632007;1.473110;4.952729;-2.163029;1.479416;4.941734;-2.158841;0.249971;0.018362;0.270928;-0.005357;8.277787;30.185387
0.64150;-0.200210;-3.176492;-1.631380;1.471910;4.930445;-2.156293;1.492594;4.929643;-2.165340;0.249986;0.012538;0.271132;0.050961;8.281002;30.593660
0.65954;-0.200967;-3.188967;-1.630452;1.485761;4.919538;-2.165506;1.476920;4.905754;-2.170024;0.249970;0.018552;0.243957;-0.003327;8.266790;30.915184
0.67544;-0.201712;-3.201442;-1.629243;1.470620;4.896540;-2.171070;1.471145;4.905825;-2.182347;0.249949;0.024177;0.223235;-0.020922;8.278057;31.690497
0.69150;-0.202442;-3.213914;-1.627270;1.463824;4.895359;-2.179945;1.457833;4.908966;-2.187546;0.249865;0.039459;0.255452;0.048043;8.290820;32.101397
0.70704;-0.203147;-3.226385;-1.624920;1.450814;4.899011;-2.182250;1.456111;4.914380;-2.200238;0.249808;0.047002;0.243593;0.105903;8.308140;32.963303
0.72383;-0.203822;-3.238850;-1.621786;1.448279;4.903577;-2.195968;1.461222;4.926953;-2.200423;0.249659;0.062680;0.266853;0.085405;8.333829;33.153414
0.74139;-0.204459;-3.251316;-1.618628;1.453892;4.916892;-2.200411;1.448375;4.939218;-2.199967;0.249654;0.063162;0.248962;0.000231;8.355639;33.308257
0.75845;-0.205055;-3.263784;-1.615409;1.440924;4.928953;-2.197281;1.449914;4.933611;-2.212294;0.249640;0.064384;0.253686;0.053712;8.362787;34.198989
0.77614;-0.205612;-3.276244;-1.611472;1.442291;4.923323;-2.204707;1.459016;4.911586;-2.189332;0.249462;0.078736;0.256107;0.151747;8.355331;33.108912
0.79116;-0.206120;-3.288724;-1.608785;1.452591;4.902486;-2.181711;1.443711;4.893278;-2.186037;0.249790;0.049190;0.222793;0.152412;8.346681;33.074072
0.80820;-0.206594;-3.301206;-1.606509;1.436268;4.882740;-2.185491;1.448965;4.899782;-2.189482;0.249820;0.045524;0.258025;0.010924;8.366426;33.401865
0.82441;-0.207040;-3.313687;-1.604031;1.441099;4.888699;-2.186565;1.447469;4.901932;-2.174842;0.249787;0.049571;0.271814;0.058328;8.380561;32.705068
0.84127;-0.207455;-3.326176;-1.602418;1.440991;4.892538;-2.174001;1.441472;4.895486;-2.172402;0.249910;0.032250;0.228220;0.016807;8.385385;32.657659
0.85830;-0.207850;-3.338666;-1.600945;1.434453;4.885241;-2.170646;1.456011;4.899333;-2.163577;0.249925;0.029475;0.248371;0.035124;8.404347;32.236446
0.87445;-0.208227;-3.351158;-1.600051;1.449844;4.890174;-2.163198;1.457204;4.890569;-2.167109;0.249972;0.017860;0.220835;0.007571;8.408313;32.490001
0.89148;-0.208592;-3.363651;-1.598976;1.450341;4.880460;-2.167449;1.440184;4.895148;-2.185867;0.249960;0.021511;0.244366;-0.006808;8.421771;33.626368
0.90748;-0.208944;-3.376137;-1.596690;1.432965;4.884909;-2.183931;1.457415;4.883771;-2.178292;0.249819;0.045724;0.250568;0.038718;8.426318;33.323345
0.92320;-0.209268;-3.388628;-1.594963;1.448967;4.871623;-2.178713;1.455735;4.887283;-2.178788;0.249896;0.034535;0.295932;-0.008432;8.441738;33.450690
0.94023;-0.209570;-3.401119;-1.593190;1.448769;4.877278;-2.179264;1.447420;4.896989;-2.178295;0.249891;0.035468;0.243829;-0.009519;8.461927;33.524071
0.95577;-0.209850;-3.413610;-1.591383;1.438904;4.884689;-2.174405;1.435849;4.902153;-2.171039;0.249887;0.036123;0.299197;0.077793;8.477042;33.211793
0.97380;-0.210107;-3.426104;-1.589949;1.428402;4.891358;-2.178275;1.433145;4.901410;-2.179225;0.249929;0.028687;0.262290;-0.144723;8.488095;33.763039
0.99134;-0.210346;-3.438595;-1.588014;1.426496;4.891865;-2.179265;1.440762;4.888684;-2.158343;0.249870;0.038701;0.232647;-0.000797;8.489389;32.677434
1.00735;-0.210561;-3.451092;-1.587329;1.432855;4.876798;-2.157274;1.436841;4.877041;-2.154904;0.249987;0.012287;0.285511;0.021378;8.489508;32.519646
