t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.00151;-0.220314;-3.863362;-1.617761;1.367468;4.781230;-2.122315;1.366678;4.790412;-2.120017;0.249903;-0.033356;0.231808;-0.045443;8.798087;28.777186
0.00751;-0.220901;-3.875843;-1.619402;1.360624;4.780543;-2.122004;1.340352;4.776031;-2.118545;0.249906;-0.032836;0.231556;-0.039740;8.791612;28.598780
0.02392;-0.221508;-3.888324;-1.621059;1.334071;4.765725;-2.117705;1.348631;4.773682;-2.120687;0.249905;-0.033137;0.241383;0.016804;8.803163;28.626571
0.04045;-0.222136;-3.900804;-1.622630;1.342164;4.763143;-2.121725;1.342585;4.779343;-2.112736;0.249914;-0.031413;0.247284;-0.020749;8.820051;28.081002
0.05699;-0.222783;-3.913280;-1.624636;1.335813;4.768113;-2.114013;1.328267;4.779818;-2.116903;0.249860;-0.040115;0.262273;-0.025548;8.830385;28.204862
0.07256;-0.223455;-3.925757;-1.626328;1.322381;4.770169;-2.120268;1.340302;4.778841;-2.119731;0.249901;-0.033850;0.226044;-0.067302;8.843945;28.269921
0.08852;-0.224149;-3.938233;-1.627906;1.334217;4.768907;-2.121154;1.335198;4.783631;-2.127454;0.249914;-0.031552;0.232986;-0.028462;8.860163;28.622023
0.10458;-0.224862;-3.950711;-1.628984;1.328563;4.772964;-2.126994;1.342366;4.779287;-2.137399;0.249960;-0.021575;0.251244;0.009198;8.869558;29.129984
0.12168;-0.225589;-3.963189;-1.629510;1.335469;4.768384;-2.132303;1.335234;4.778126;-2.126223;0.249990;-0.010504;0.258029;0.101921;8.879570;28.459557
0.13774;-0.226323;-3.975666;-1.630678;1.328528;4.767324;-2.126606;1.338998;4.768492;-2.124595;0.249953;-0.023364;0.254284;-0.007660;8.883160;28.299360
0.15460;-0.227070;-3.988140;-1.631987;1.332202;4.757466;-2.121733;1.339253;4.770663;-2.138289;0.249940;-0.026183;0.259055;0.057244;8.897753;29.008962
0.17014;-0.227835;-4.000616;-1.632470;1.332376;4.759845;-2.135840;1.319516;4.772656;-2.132609;0.249992;-0.009650;0.256377;0.048977;8.908681;28.655901
0.18719;-0.228605;-4.013092;-1.633202;1.313082;4.762392;-2.128807;1.321777;4.769515;-2.114128;0.249981;-0.014647;0.242282;0.076054;8.918400;27.555016
0.20459;-0.229384;-4.025561;-1.635062;1.315475;4.759091;-2.115033;1.315818;4.772685;-2.134269;0.249880;-0.037196;0.243622;-0.018109;8.932904;28.602475
