timestamp_s x y theta
0.000000 2.118467 2.032479 -0.007519
0.100000 2.243464 2.031539 -0.007519
0.200000 2.368460 2.030599 -0.007519
0.300000 2.493457 2.029659 -0.007519
0.400000 2.618453 2.028719 -0.007519
0.500000 2.743450 2.027779 -0.007519
0.600000 2.868446 2.026840 -0.007519
0.700000 2.993443 2.025900 -0.007519
0.800000 3.118439 2.024960 -0.007519
0.900000 3.243436 2.024020 -0.007519
1.000000 3.368432 2.023080 -0.007519
1.100000 3.493429 2.022141 -0.007519
1.200000 3.618425 2.021201 -0.007519
1.300000 3.743422 2.020261 -0.007519
1.400000 3.868418 2.019321 -0.007519
1.500000 3.993414 2.018381 -0.007519
1.600000 4.118411 2.017441 -0.007519
1.700000 4.243407 2.016502 -0.007519
1.800000 4.368404 2.015562 -0.007519
1.900000 4.493400 2.014622 -0.007519
2.000000 4.618397 2.013682 -0.007519
2.100000 4.743393 2.012742 -0.007519
2.200000 4.868390 2.011802 -0.007519
2.300000 4.993386 2.010863 -0.007519
2.400000 5.118383 2.009923 -0.007519
2.500000 5.243379 2.008983 -0.007519
2.600000 5.368376 2.008043 -0.007519
2.700000 5.493372 2.007103 -0.007519
2.800000 5.618369 2.006164 -0.007519
2.900000 5.743365 2.005224 -0.007519
3.000000 5.868361 2.004284 -0.007519
3.100000 5.993358 2.003344 -0.007519
3.200000 6.118354 2.002404 -0.007519
3.300000 6.243351 2.001464 -0.007519
3.400000 6.368347 2.000525 -0.007519
3.500000 6.493344 1.999585 -0.007519
3.600000 6.618340 1.998645 -0.007519
3.700000 6.743337 1.997705 -0.007519
3.800000 6.868333 1.996765 -0.007519
3.900000 6.993330 1.995825 -0.007519
4.000000 7.112754 1.994928 -0.007519
4.100000 7.218191 1.994135 -0.007519
4.200000 7.311165 1.993436 -0.007519
4.300000 7.393150 1.992819 -0.007519
4.400000 7.465445 1.992276 -0.007519
4.500000 7.529195 1.991796 -0.007519
4.600000 7.585409 1.991374 -0.007519
4.700000 7.634979 1.991001 -0.007519
4.800000 7.672709 1.990782 0.011231
4.900000 7.699616 1.992487 0.142481
5.000000 7.743914 2.004247 0.398731
5.100000 7.807978 2.045577 0.772481
5.200000 7.869342 2.131069 1.127481
5.300000 7.907857 2.244374 1.358731
5.400000 7.926860 2.366941 1.464981
5.500000 7.937921 2.491231 1.499505
5.600000 7.945572 2.615922 1.519773
5.700000 7.951209 2.740768 1.531763
5.800000 7.955646 2.865680 1.538921
5.900000 7.959365 2.990621 1.543242
6.000000 7.962553 3.111880 1.545885
6.100000 7.965149 3.219463 1.547512
6.200000 7.967313 3.314333 1.548513
6.300000 7.969153 3.397991 1.549130
6.400000 7.970738 3.471761 1.549510
6.500000 7.972116 3.536813 1.549744
6.600000 7.973319 3.594175 1.549888
6.700000 7.974375 3.644758 1.549976
6.800000 7.975271 3.688024 1.553781
6.900000 7.974904 3.713333 1.647579
7.000000 7.969884 3.741794 1.866377
7.100000 7.944458 3.793439 2.210170
7.200000 7.875899 3.856176 2.600896
7.300000 7.769422 3.900862 2.890210
7.400000 7.647789 3.921335 3.054525
7.500000 7.523136 3.928655 3.100151
7.600000 7.398240 3.933120 3.111583
7.700000 7.273292 3.936478 3.117894
7.800000 7.148324 3.939222 3.121380
7.900000 7.023348 3.941629 3.123306
8.000000 6.898368 3.943848 3.124371
8.100000 6.773386 3.945964 3.124961
8.200000 6.648403 3.948022 3.125287
8.300000 6.523419 3.950049 3.125468
8.400000 6.398436 3.952059 3.125568
8.500000 6.273452 3.954058 3.125624
8.600000 6.148468 3.956052 3.125655
8.700000 6.023483 3.958043 3.125672
8.800000 5.898499 3.960032 3.125682
8.900000 5.773515 3.962021 3.125687
9.000000 5.648531 3.964009 3.125690
9.100000 5.523547 3.965996 3.125692
9.200000 5.398562 3.967984 3.125693
9.300000 5.273578 3.969971 3.125693
9.400000 5.148594 3.971959 3.125694
9.500000 5.023610 3.973946 3.125694
9.600000 4.898626 3.975933 3.125694
9.700000 4.773641 3.977920 3.125694
9.800000 4.648657 3.979908 3.125694
9.900000 4.523673 3.981895 3.125694
