timestamp_s x y theta
0.000000 1.696489 1.977721 0.051755
0.100000 1.741316 1.980540 0.094763
0.200000 1.785834 1.985212 0.132772
0.300000 1.829948 1.991488 0.165780
0.400000 1.873612 1.999122 0.193789
0.500000 1.916822 2.007875 0.216797
0.600000 1.959610 2.017515 0.234806
0.700000 2.002036 2.027824 0.247814
0.800000 2.044183 2.038591 0.255823
0.900000 2.086148 2.049615 0.258831
1.000000 2.128041 2.060699 0.256840
1.100000 2.169974 2.071648 0.249848
1.200000 2.212058 2.082267 0.237857
1.300000 2.254397 2.092355 0.220865
1.400000 2.297079 2.101706 0.198874
1.500000 2.340175 2.110103 0.173107
1.600000 2.383683 2.117437 0.149378
1.700000 2.427522 2.123790 0.128154
1.800000 2.471622 2.129254 0.109165
1.900000 2.515926 2.133914 0.092174
2.000000 2.560391 2.137849 0.076967
2.100000 2.604980 2.141131 0.063354
2.200000 2.649667 2.143825 0.051166
2.300000 2.694428 2.145992 0.040251
2.400000 2.739247 2.147684 0.030476
2.500000 2.784109 2.148951 0.021718
2.600000 2.829004 2.149835 0.013872
2.700000 2.873923 2.150377 0.006840
2.800000 2.918860 2.150612 0.000536
2.900000 2.963810 2.150571 -0.005115
3.000000 3.008769 2.150282 -0.010182
3.100000 3.053734 2.149772 -0.014727
3.200000 3.098703 2.149062 -0.018805
3.300000 3.143673 2.148174 -0.022463
3.400000 3.188644 2.147126 -0.025747
3.500000 3.233614 2.145934 -0.028695
3.600000 3.278584 2.144613 -0.031342
3.700000 3.323552 2.143175 -0.033720
3.800000 3.368519 2.141634 -0.035856
3.900000 3.413483 2.139999 -0.037775
4.000000 3.458446 2.138279 -0.039500
4.100000 3.503406 2.136485 -0.041051
4.200000 3.548364 2.134622 -0.042447
4.300000 3.593321 2.132698 -0.043702
4.400000 3.638275 2.130719 -0.044831
4.500000 3.683228 2.128691 -0.045848
4.600000 3.728179 2.126618 -0.046764
4.700000 3.773128 2.124505 -0.047589
4.800000 3.818076 2.122355 -0.048332
4.900000 3.863022 2.120174 -0.049003
5.000000 3.907967 2.117962 -0.049607
5.100000 3.952911 2.115725 -0.050152
5.200000 3.997854 2.113463 -0.050644
5.300000 4.042796 2.111180 -0.051089
5.400000 4.087736 2.108878 -0.051490
5.500000 4.132676 2.106557 -0.051853
5.600000 4.177616 2.104221 -0.052181
5.700000 4.222554 2.101871 -0.052478
5.800000 4.267492 2.099507 -0.052747
5.900000 4.312429 2.097132 -0.052990
6.000000 4.357366 2.094746 -0.053211
6.100000 4.402302 2.092350 -0.053411
6.200000 4.447237 2.089946 -0.053592
6.300000 4.492173 2.087533 -0.053757
6.400000 4.537107 2.085114 -0.053907
6.500000 4.582042 2.082688 -0.054043
6.600000 4.626976 2.080255 -0.054167
6.700000 4.671910 2.077818 -0.054280
6.800000 4.716844 2.075375 -0.054383
6.900000 4.761777 2.072928 -0.054476
7.000000 4.806710 2.070477 -0.054562
7.100000 4.851643 2.068022 -0.054641
7.200000 4.896576 2.065564 -0.054712
7.300000 4.941509 2.063102 -0.054778
7.400000 4.986441 2.060637 -0.054838
7.500000 5.031373 2.058170 -0.054894
7.600000 5.076306 2.055701 -0.054945
7.700000 5.121238 2.053229 -0.054992
7.800000 5.166170 2.050755 -0.055036
7.900000 5.211101 2.048279 -0.055076
8.000000 5.254657 2.045878 -0.055113
8.100000 5.296275 2.043581 -0.055148
8.200000 5.336040 2.041386 -0.055180
8.300000 5.374037 2.039287 -0.055210
8.400000 5.410343 2.037280 -0.055237
8.500000 5.445033 2.035362 -0.055263
8.600000 5.478180 2.033528 -0.055287
8.700000 5.509851 2.031775 -0.055309
8.800000 5.540114 2.030099 -0.055329
8.900000 5.569030 2.028497 -0.055348
9.000000 5.596660 2.026966 -0.055365
9.100000 5.623060 2.025503 -0.055382
9.200000 5.648285 2.024105 -0.055397
9.300000 5.672388 2.022768 -0.055411
9.400000 5.695419 2.021490 -0.055424
9.500000 5.717425 2.020269 -0.055436
9.600000 5.738452 2.019103 -0.055447
9.700000 5.758543 2.017987 -0.055457
9.800000 5.777740 2.016922 -0.055467
9.900000 5.796083 2.015903 -0.055476
10.000000 5.813610 2.014930 -0.055484
10.100000 5.830357 2.014000 -0.055492
10.200000 5.846359 2.013111 -0.055499
10.300000 5.860682 2.012324 -0.051756
10.400000 5.873010 2.011707 -0.043013
10.500000 5.883346 2.011293 -0.029270
10.600000 5.892343 2.011069 -0.010527
10.700000 5.901343 2.011025 0.013216
10.800000 5.910341 2.011206 0.041959
10.900000 5.919330 2.011656 0.075702
11.000000 5.928297 2.012421 0.114445
11.100000 5.937577 2.013591 0.158188
11.200000 5.948454 2.015465 0.206931
11.300000 5.961080 2.018296 0.260674
11.400000 5.975451 2.022359 0.319417
11.500000 5.991441 2.027934 0.383160
