24;27;3.71;4.18;0.37;0.42;7397
35;35;5.41;5.41;0.54;0.54;7512
34;37;5.26;5.72;0.53;0.57;7626
36;38;5.57;5.88;0.56;0.59;7740
44;45;6.81;6.96;0.68;0.7;7877
35;37;5.41;5.72;0.54;0.57;7991
36;38;5.57;5.88;0.56;0.59;8105
37;37;5.72;5.72;0.57;0.57;8219
36;38;5.57;5.88;0.56;0.59;8332
36;37;5.57;5.72;0.56;0.57;8447
38;38;5.88;5.88;0.59;0.59;8560
36;36;5.57;5.57;0.56;0.56;8673
36;37;5.57;5.72;0.56;0.57;8786
37;38;5.72;5.88;0.57;0.59;8899
35;37;5.41;5.72;0.54;0.57;9012
36;37;5.57;5.72;0.56;0.57;9123
36;37;5.57;5.72;0.56;0.57;9236
36;37;5.57;5.72;0.56;0.57;9349
36;38;5.57;5.88;0.56;0.59;9464
37;37;5.72;5.72;0.57;0.57;9577
36;38;5.57;5.88;0.56;0.59;9690
35;37;5.41;5.72;0.54;0.57;9803
36;36;5.57;5.57;0.56;0.56;9916
36;38;5.57;5.88;0.56;0.59;10029
36;37;5.57;5.72;0.56;0.57;10142
36;37;5.57;5.72;0.56;0.57;10255
36;37;5.57;5.72;0.56;0.57;10368
36;38;5.57;5.88;0.56;0.59;10483
38;38;5.88;5.88;0.59;0.59;10596
35;38;5.41;5.88;0.54;0.59;10709
38;39;5.88;6.03;0.59;0.6;10824
37;37;5.72;5.72;0.57;0.57;10937
34;37;5.26;5.72;0.53;0.57;11051
36;38;5.57;5.88;0.56;0.59;11164
35;37;5.41;5.72;0.54;0.57;11277
35;37;5.41;5.72;0.54;0.57;11390
37;38;5.72;5.88;0.57;0.59;11505
36;37;5.57;5.72;0.56;0.57;11618
37;38;5.72;5.88;0.57;0.59;11731
35;36;5.41;5.57;0.54;0.56;11844
36;39;5.57;6.03;0.56;0.6;11957
36;37;5.57;5.72;0.56;0.57;12070
42;43;6.5;6.65;0.65;0.67;12201
36;37;5.57;5.72;0.56;0.57;12314
36;38;5.57;5.88;0.56;0.59;12427
37;39;5.72;6.03;0.57;0.6;12542
37;38;5.72;5.88;0.57;0.59;12657
36;37;5.57;5.72;0.56;0.57;12770
35;40;5.41;6.19;0.54;0.62;12883
38;38;5.88;5.88;0.59;0.59;12996
37;40;5.72;6.19;0.57;0.62;13109
37;37;5.72;5.72;0.57;0.57;13222
37;38;5.72;5.88;0.57;0.59;13335
35;36;5.41;5.57;0.54;0.56;13448
37;39;5.72;6.03;0.57;0.6;13563
37;38;5.72;5.88;0.57;0.59;13676
37;38;5.72;5.88;0.57;0.59;13789
36;38;5.57;5.88;0.56;0.59;13902
39;38;6.03;5.88;0.6;0.59;14015
38;40;5.88;6.19;0.59;0.62;14128
38;40;5.88;6.19;0.59;0.62;14241
37;40;5.72;6.19;0.57;0.62;14356
37;38;5.72;5.88;0.57;0.59;14469
38;39;5.88;6.03;0.59;0.6;14584
38;38;5.88;5.88;0.59;0.59;14697
38;38;5.88;5.88;0.59;0.59;14810
36;38;5.57;5.88;0.56;0.59;14923
38;39;5.88;6.03;0.59;0.6;15036
37;39;5.72;6.03;0.57;0.6;15154
50;31;7.73;4.8;0.77;0.48;15267
47;35;7.27;5.41;0.73;0.54;15380
38;38;5.88;5.88;0.59;0.59;15493
37;38;5.72;5.88;0.57;0.59;15608
38;39;5.88;6.03;0.59;0.6;15721
38;39;5.88;6.03;0.59;0.6;15834
36;37;5.57;5.72;0.56;0.57;15947
38;39;5.88;6.03;0.59;0.6;16060
38;40;5.88;6.19;0.59;0.62;16175
37;39;5.72;6.03;0.57;0.6;16288
38;38;5.88;5.88;0.59;0.59;16401
36;37;5.57;5.72;0.56;0.57;16514
61;30;9.44;4.64;0.94;0.46;16635
34;41;5.26;6.34;0.53;0.63;16748
38;38;5.88;5.88;0.59;0.59;16861
46;46;7.12;7.12;0.71;0.71;16999
38;38;5.88;5.88;0.59;0.59;17112
37;37;5.72;5.72;0.57;0.57;17225
36;38;5.57;5.88;0.56;0.59;17338
37;38;5.72;5.88;0.57;0.59;17451
36;38;5.57;5.88;0.56;0.59;17564
39;40;6.03;6.19;0.6;0.62;17685
49;30;7.58;4.64;0.76;0.46;17798
47;35;7.27;5.41;0.73;0.54;17913
39;38;6.03;5.88;0.6;0.59;18026
36;38;5.57;5.88;0.56;0.59;18139
37;37;5.72;5.72;0.57;0.57;18252
38;38;5.88;5.88;0.59;0.59;18365
37;39;5.72;6.03;0.57;0.6;18478
38;38;5.88;5.88;0.59;0.59;18591
37;38;5.72;5.88;0.57;0.59;18706
37;38;5.72;5.88;0.57;0.59;18819
37;37;5.72;5.72;0.57;0.57;18932
64;20;9.9;3.09;0.99;0.31;19045
45;34;6.96;5.26;0.7;0.53;19158
37;37;5.72;5.72;0.57;0.57;19271
37;39;5.72;6.03;0.57;0.6;19384
36;37;5.57;5.72;0.56;0.57;19497
36;37;5.57;5.72;0.56;0.57;19610
38;39;5.88;6.03;0.59;0.6;19727
37;38;5.72;5.88;0.57;0.59;19840
34;37;5.26;5.72;0.53;0.57;19953
38;38;5.88;5.88;0.59;0.59;20066
38;39;5.88;6.03;0.59;0.6;20179
37;38;5.72;5.88;0.57;0.59;20292
37;38;5.72;5.88;0.57;0.59;20405
37;38;5.72;5.88;0.57;0.59;20518
37;38;5.72;5.88;0.57;0.59;20631
36;38;5.57;5.88;0.56;0.59;20746
35;38;5.41;5.88;0.54;0.59;20859
38;38;5.88;5.88;0.59;0.59;20972
38;39;5.88;6.03;0.59;0.6;21085
36;38;5.57;5.88;0.56;0.59;21198
38;38;5.88;5.88;0.59;0.59;21311
38;39;5.88;6.03;0.59;0.6;21426
38;39;5.88;6.03;0.59;0.6;21539
40;41;6.19;6.34;0.62;0.63;21661
38;38;5.88;5.88;0.59;0.59;21776
39;39;6.03;6.03;0.6;0.6;21889
38;38;5.88;5.88;0.59;0.59;22002
38;38;5.88;5.88;0.59;0.59;22115
38;39;5.88;6.03;0.59;0.6;22228
36;37;5.57;5.72;0.56;0.57;22341
39;39;6.03;6.03;0.6;0.6;22454
37;39;5.72;6.03;0.57;0.6;22567
37;39;5.72;6.03;0.57;0.6;22680
37;38;5.72;5.88;0.57;0.59;22795
36;39;5.57;6.03;0.56;0.6;22908
36;36;5.57;5.57;0.56;0.56;23021
35;38;5.41;5.88;0.54;0.59;23134
37;38;5.72;5.88;0.57;0.59;23249
34;37;5.26;5.72;0.53;0.57;23362
34;35;5.26;5.41;0.53;0.54;23475
33;35;5.11;5.41;0.51;0.54;23588
33;35;5.11;5.41;0.51;0.54;23702
34;36;5.26;5.57;0.53;0.56;23817
34;36;5.26;5.57;0.53;0.56;23930
34;36;5.26;5.57;0.53;0.56;24043
33;36;5.11;5.57;0.51;0.56;24156
32;35;4.95;5.41;0.5;0.54;24269
32;36;4.95;5.57;0.5;0.56;24382
33;35;5.11;5.41;0.51;0.54;24495
33;36;5.11;5.57;0.51;0.56;24608
33;34;5.11;5.26;0.51;0.53;24721
32;35;4.95;5.41;0.5;0.54;24836
33;34;5.11;5.26;0.51;0.53;24951
33;34;5.11;5.26;0.51;0.53;25064
34;35;5.26;5.41;0.53;0.54;25177
32;35;4.95;5.41;0.5;0.54;25290
31;35;4.8;5.41;0.48;0.54;25403
31;35;4.8;5.41;0.48;0.54;25516
32;35;4.95;5.41;0.5;0.54;25629
33;36;5.11;5.57;0.51;0.56;25742
33;38;5.11;5.88;0.51;0.59;25857
34;38;5.26;5.88;0.53;0.59;25970
36;39;5.57;6.03;0.56;0.6;26083
37;39;5.72;6.03;0.57;0.6;26196
39;38;6.03;5.88;0.6;0.59;26309
45;47;6.96;7.27;0.7;0.73;26448
36;39;5.57;6.03;0.56;0.6;26561
39;38;6.03;5.88;0.6;0.59;26674
38;39;5.88;6.03;0.59;0.6;26789
40;40;6.19;6.19;0.62;0.62;26905
39;38;6.03;5.88;0.6;0.59;27018
37;38;5.72;5.88;0.57;0.59;27131
38;39;5.88;6.03;0.59;0.6;27244
37;37;5.72;5.72;0.57;0.57;27357
35;38;5.41;5.88;0.54;0.59;27470
36;38;5.57;5.88;0.56;0.59;27583
38;39;5.88;6.03;0.59;0.6;27696
38;39;5.88;6.03;0.59;0.6;27809
37;39;5.72;6.03;0.57;0.6;27925
38;38;5.88;5.88;0.59;0.59;28038
35;36;5.41;5.57;0.54;0.56;28151
36;40;5.57;6.19;0.56;0.62;28264
37;37;5.72;5.72;0.57;0.57;28377
39;40;6.03;6.19;0.6;0.62;28492
37;38;5.72;5.88;0.57;0.59;28605
39;39;6.03;6.03;0.6;0.6;28718
49;31;7.58;4.8;0.76;0.48;28831
67;19;10.36;2.94;1.04;0.29;28952
64;21;9.9;3.25;0.99;0.32;29065
69;8;10.67;1.24;1.07;0.12;29178
69;104;10.67;16.09;1.07;1.61;29291
70;81;10.83;12.53;1.08;1.25;29404
71;27;10.98;4.18;1.1;0.42;29517
69;22;10.67;3.4;1.07;0.34;29630
70;13;10.83;2.01;1.08;0.2;29743
68;3;10.52;0.46;1.05;0.05;29856
71;6;10.98;0.93;1.1;0.09;29971
69;13;10.67;2.01;1.07;0.2;30084
56;26;8.66;4.02;0.87;0.4;30197
66;19;10.21;2.94;1.02;0.29;30312
48;34;7.43;5.26;0.74;0.53;30425
72;6;11.14;0.93;1.11;0.09;30538
45;32;6.96;4.95;0.7;0.5;30651
51;30;7.89;4.64;0.79;0.46;30764
70;7;10.83;1.08;1.08;0.11;30877
48;36;7.43;5.57;0.74;0.56;30999
51;30;7.89;4.64;0.79;0.46;31112
69;18;10.67;2.78;1.07;0.28;31234
37;42;5.72;6.5;0.57;0.65;31347
49;30;7.58;4.64;0.76;0.46;31460
63;18;9.75;2.78;0.97;0.28;31573
37;43;5.72;6.65;0.57;0.67;31686
66;18;10.21;2.78;1.02;0.28;31799
44;33;6.81;5.11;0.68;0.51;31912
42;40;6.5;6.19;0.65;0.62;32032
40;41;6.19;6.34;0.62;0.63;32151
36;36;5.57;5.57;0.56;0.56;32264
56;29;8.66;4.49;0.87;0.45;32377
48;35;7.43;5.41;0.74;0.54;32490
63;18;9.75;2.78;0.97;0.28;32603
37;41;5.72;6.34;0.57;0.63;32716
38;39;5.88;6.03;0.59;0.6;32829
38;39;5.88;6.03;0.59;0.6;32942
40;38;6.19;5.88;0.62;0.59;33057
39;38;6.03;5.88;0.6;0.59;33170
66;21;10.21;3.25;1.02;0.32;33283
61;18;9.44;2.78;0.94;0.28;33396
37;41;5.72;6.34;0.57;0.63;33509
38;39;5.88;6.03;0.59;0.6;33622
37;36;5.72;5.57;0.57;0.56;33735
39;38;6.03;5.88;0.6;0.59;33850
38;38;5.88;5.88;0.59;0.59;33963
39;38;6.03;5.88;0.6;0.59;34078
38;37;5.88;5.72;0.59;0.57;34191
38;39;5.88;6.03;0.59;0.6;34304
38;37;5.88;5.72;0.59;0.57;34417
38;39;5.88;6.03;0.59;0.6;34530
37;39;5.72;6.03;0.57;0.6;34643
39;38;6.03;5.88;0.6;0.59;34756
39;39;6.03;6.03;0.6;0.6;34869
37;39;5.72;6.03;0.57;0.6;34982
40;39;6.19;6.03;0.62;0.6;35097
38;39;5.88;6.03;0.59;0.6;35210
38;39;5.88;6.03;0.59;0.6;35323
37;38;5.72;5.88;0.57;0.59;35436
38;38;5.88;5.88;0.59;0.59;35551
38;39;5.88;6.03;0.59;0.6;35664
37;38;5.72;5.88;0.57;0.59;35777
45;46;6.96;7.12;0.7;0.71;35915
36;38;5.57;5.88;0.56;0.59;36028
37;38;5.72;5.88;0.57;0.59;36143
37;38;5.72;5.88;0.57;0.59;36256
38;38;5.88;5.88;0.59;0.59;36369
36;38;5.57;5.88;0.56;0.59;36482
38;39;5.88;6.03;0.59;0.6;36595
38;37;5.88;5.72;0.59;0.57;36708
38;38;5.88;5.88;0.59;0.59;36821
37;37;5.72;5.72;0.57;0.57;36934
38;38;5.88;5.88;0.59;0.59;37047
