timestamp_s x y theta
0.000000 1.043343 1.015436 0.000000
0.100000 1.120843 1.015436 0.000000
0.200000 1.240843 1.015436 0.000000
0.300000 1.365843 1.015436 0.000000
0.400000 1.490843 1.015436 0.000000
0.500000 1.615843 1.015436 0.000000
0.600000 1.740843 1.015436 0.000000
0.700000 1.865843 1.015436 0.000000
0.800000 1.990843 1.015436 0.000000
0.900000 2.115843 1.015436 0.000000
1.000000 2.240843 1.015436 0.000000
1.100000 2.365843 1.015436 0.000000
1.200000 2.490843 1.015436 0.000000
1.300000 2.615843 1.015436 0.000000
1.400000 2.740843 1.015436 0.000000
1.500000 2.865843 1.015436 0.000000
1.600000 2.990843 1.015436 0.000000
1.700000 3.115843 1.015436 0.000000
1.800000 3.240843 1.015436 0.000000
1.900000 3.365843 1.015436 0.000000
2.000000 3.490843 1.015436 0.000000
2.100000 3.615843 1.015436 0.000000
2.200000 3.740843 1.015436 0.000000
2.300000 3.865843 1.015436 0.000000
2.400000 3.990843 1.015436 0.000000
2.500000 4.115843 1.015436 0.000000
2.600000 4.240843 1.015436 0.000000
2.700000 4.365843 1.015436 0.000000
2.800000 4.490843 1.015436 0.000000
2.900000 4.615843 1.015436 0.000000
3.000000 4.740843 1.015436 0.000000
3.100000 4.865843 1.015436 0.000000
3.200000 4.990843 1.015436 0.000000
3.300000 5.115843 1.015436 0.000000
3.400000 5.240843 1.015436 0.000000
3.500000 5.365843 1.015436 0.000000
3.600000 5.490843 1.015436 0.000000
3.700000 5.615843 1.015436 0.000000
3.800000 5.740843 1.015436 0.000000
3.900000 5.865843 1.015436 0.000000
4.000000 5.990843 1.015436 0.000000
4.100000 6.112811 1.015436 0.000000
4.200000 6.221320 1.015436 0.000000
4.300000 6.317003 1.015436 0.000000
4.400000 6.401377 1.015436 0.000000
4.500000 6.475778 1.015436 0.000000
4.600000 6.541384 1.015436 0.000000
4.700000 6.599237 1.015436 0.000000
4.800000 6.650251 1.015436 0.000000
4.900000 6.693898 1.015440 0.003750
5.000000 6.719833 1.016378 0.097500
5.100000 6.758741 1.024095 0.316250
5.200000 6.818798 1.054898 0.660000
5.300000 6.884098 1.128639 1.040428
5.400000 6.929448 1.236607 1.307807
5.500000 6.952561 1.357871 1.450187
5.600000 6.964755 1.482005 1.492672
5.700000 6.973147 1.606633 1.514751
5.800000 6.979344 1.731449 1.527810
5.900000 6.984236 1.856342 1.535606
6.000000 6.988345 1.981270 1.540310
6.100000 6.991879 2.102690 1.543187
6.200000 6.994765 2.210484 1.544958
6.300000 6.997172 2.305541 1.546049
6.400000 6.999220 2.389365 1.546720
6.500000 7.000985 2.463282 1.547133
6.600000 7.002520 2.528462 1.547388
6.700000 7.003861 2.585939 1.547545
6.800000 7.005037 2.636622 1.547641
6.900000 7.006036 2.679976 1.551451
7.000000 7.005729 2.705295 1.645253
7.100000 7.000805 2.733625 1.864055
7.200000 6.975608 2.785094 2.207852
7.300000 6.907319 2.847856 2.599129
7.400000 6.800946 2.892637 2.889821
7.500000 6.679308 2.913081 3.055513
7.600000 6.554636 2.920211 3.101756
7.700000 6.429731 2.924526 3.112389
7.800000 6.304781 2.927810 3.118257
7.900000 6.179812 2.930525 3.121498
8.000000 6.054836 2.932925 3.123289
8.100000 5.929856 2.935151 3.124280
8.200000 5.804874 2.937281 3.124827
8.300000 5.679891 2.939357 3.125131
8.400000 5.554908 2.941404 3.125299
8.500000 5.429925 2.943435 3.125392
8.600000 5.304941 2.945457 3.125444
8.700000 5.179957 2.947474 3.125473
8.800000 5.054973 2.949488 3.125489
8.900000 4.929990 2.951500 3.125497
9.000000 4.805006 2.953511 3.125502
9.100000 4.680022 2.955523 3.125505
9.200000 4.555038 2.957533 3.125507
9.300000 4.430054 2.959544 3.125508
9.400000 4.305070 2.961554 3.125508
9.500000 4.180087 2.963565 3.125508
9.600000 4.055103 2.965575 3.125508
9.700000 3.930119 2.967586 3.125509
9.800000 3.805135 2.969596 3.125509
9.900000 3.680151 2.971607 3.125509
10.000000 3.555168 2.973617 3.125509
10.100000 3.430184 2.975627 3.125509
10.200000 3.305200 2.977638 3.125509
10.300000 3.180216 2.979648 3.125509
10.400000 3.055232 2.981659 3.125509
10.500000 2.930248 2.983669 3.125509
10.600000 2.805265 2.985679 3.125509
10.700000 2.680281 2.987690 3.125509
10.800000 2.555297 2.989700 3.125509
10.900000 2.430313 2.991711 3.125509
11.000000 2.305329 2.993721 3.125509
11.100000 2.180345 2.995732 3.125509
11.200000 2.055362 2.997742 3.125509
11.300000 1.932271 2.999722 3.125509
11.400000 1.821932 3.001497 3.125509
11.500000 1.724634 3.003062 3.125509
11.600000 1.638836 3.004442 3.125509
11.700000 1.563180 3.005659 3.125509
11.800000 1.496466 3.006732 3.125509
11.900000 1.437638 3.007678 3.125509
12.000000 1.385763 3.008513 3.125509
12.100000 1.340019 3.009248 3.125509
12.200000 1.311914 3.010251 3.056759
12.300000 1.274500 3.016673 2.863009
12.400000 1.216610 3.042809 2.544259
12.500000 1.149757 3.109598 2.158009
12.600000 1.099864 3.213479 1.876759
12.700000 1.072464 3.333214 1.720509
12.800000 1.057360 3.456860 1.667230
12.900000 1.047064 3.581290 1.639122
13.000000 1.039554 3.706014 1.622523
13.100000 1.033699 3.830859 1.612635
13.200000 1.028837 3.955758 1.606681
13.300000 1.024633 4.078910 1.603050
13.400000 1.021185 4.189428 1.600815
13.500000 1.018323 4.286889 1.599439
13.600000 1.015896 4.372834 1.598592
13.700000 1.013808 4.448621 1.598071
13.800000 1.011995 4.515452 1.597750
