timestamp_s x y theta
0.000000 2.020970 2.033212 -0.007519
0.100000 2.098468 2.032629 -0.007519
0.200000 2.218465 2.031727 -0.007519
0.300000 2.343461 2.030787 -0.007519
0.400000 2.468458 2.029847 -0.007519
0.500000 2.593454 2.028907 -0.007519
0.600000 2.718450 2.027967 -0.007519
0.700000 2.843447 2.027028 -0.007519
0.800000 2.968443 2.026088 -0.007519
0.900000 3.093440 2.025148 -0.007519
1.000000 3.218436 2.024208 -0.007519
1.100000 3.343433 2.023268 -0.007519
1.200000 3.468429 2.022328 -0.007519
1.300000 3.593426 2.021389 -0.007519
1.400000 3.718422 2.020449 -0.007519
1.500000 3.843419 2.019509 -0.007519
1.600000 3.968415 2.018569 -0.007519
1.700000 4.093412 2.017629 -0.007519
1.800000 4.218408 2.016690 -0.007519
1.900000 4.343405 2.015750 -0.007519
2.000000 4.468401 2.014810 -0.007519
2.100000 4.593398 2.013870 -0.007519
2.200000 4.718394 2.012930 -0.007519
2.300000 4.843390 2.011990 -0.007519
2.400000 4.968387 2.011051 -0.007519
2.500000 5.093383 2.010111 -0.007519
2.600000 5.218380 2.009171 -0.007519
2.700000 5.343376 2.008231 -0.007519
2.800000 5.468373 2.007291 -0.007519
2.900000 5.593369 2.006351 -0.007519
3.000000 5.718366 2.005412 -0.007519
3.100000 5.843362 2.004472 -0.007519
3.200000 5.968359 2.003532 -0.007519
3.300000 6.093355 2.002592 -0.007519
3.400000 6.218352 2.001652 -0.007519
3.500000 6.343348 2.000713 -0.007519
3.600000 6.468345 1.999773 -0.007519
3.700000 6.593341 1.998833 -0.007519
3.800000 6.718337 1.997893 -0.007519
3.900000 6.843334 1.996953 -0.007519
4.000000 6.968330 1.996013 -0.007519
4.100000 7.090028 1.995098 -0.007519
4.200000 7.198151 1.994285 -0.007519
4.300000 7.293494 1.993569 -0.007519
4.400000 7.377568 1.992936 -0.007519
4.500000 7.451704 1.992379 -0.007519
4.600000 7.517078 1.991888 -0.007519
4.700000 7.574725 1.991454 -0.007519
4.800000 7.625557 1.991072 -0.007519
4.900000 7.669044 1.990749 -0.003769
5.000000 7.694595 1.991467 0.089981
5.100000 7.732108 1.998634 0.308731
5.200000 7.791302 2.028462 0.652481
5.300000 7.856575 2.101131 1.033731
5.400000 7.902413 2.208454 1.302481
5.500000 7.926064 2.329452 1.446231
5.600000 7.938596 2.453494 1.491791
5.700000 7.946948 2.578105 1.516264
5.800000 7.952870 2.702926 1.530706
5.900000 7.957351 2.827832 1.539302
6.000000 7.960970 2.952775 1.544473
6.100000 7.964039 3.076539 1.547623
