contdir;contesq;veldir;velesq;disdir;diseq;tmp
27;27;5.52;5.52;0.55;0.55;15198
27;27;5.52;5.52;0.55;0.55;15307
29;27;5.93;5.52;0.59;0.55;15418
27;26;5.52;5.32;0.55;0.53;15527
26;26;5.32;5.32;0.53;0.53;15636
27;27;5.52;5.52;0.55;0.55;15747
28;27;5.73;5.52;0.57;0.55;15856
27;27;5.52;5.52;0.55;0.55;15965
26;27;5.32;5.52;0.53;0.55;16074
27;27;5.52;5.52;0.55;0.55;16183
31;26;6.34;5.32;0.63;0.53;16292
26;26;5.32;5.32;0.53;0.53;16401
26;26;5.32;5.32;0.53;0.53;16510
28;28;5.73;5.73;0.57;0.57;16619
27;27;5.52;5.52;0.55;0.55;16731
26;27;5.32;5.52;0.53;0.55;16840
28;27;5.73;5.52;0.57;0.55;16949
28;27;5.73;5.52;0.57;0.55;17060
27;27;5.52;5.52;0.55;0.55;17169
29;27;5.93;5.52;0.59;0.55;17278
29;29;5.93;5.93;0.59;0.59;17396
29;27;5.93;5.52;0.59;0.55;17505
26;26;5.32;5.32;0.53;0.53;17614
26;27;5.32;5.52;0.53;0.55;17723
27;27;5.52;5.52;0.55;0.55;17834
27;26;5.52;5.32;0.55;0.53;17943
33;23;6.75;4.71;0.68;0.47;18052
39;16;7.98;3.27;0.8;0.33;18161
27;26;5.52;5.32;0.55;0.53;18270
28;27;5.73;5.52;0.57;0.55;18379
28;26;5.73;5.32;0.57;0.53;18488
27;26;5.52;5.32;0.55;0.53;18597
28;25;5.73;5.11;0.57;0.51;18706
29;27;5.93;5.52;0.59;0.55;18820
35;21;7.16;4.3;0.72;0.43;18929
32;22;6.55;4.5;0.65;0.45;19038
27;27;5.52;5.52;0.55;0.55;19147
28;26;5.73;5.32;0.57;0.53;19256
27;26;5.52;5.32;0.55;0.53;19365
28;27;5.73;5.52;0.57;0.55;19474
27;26;5.52;5.32;0.55;0.53;19583
27;26;5.52;5.32;0.55;0.53;19692
27;26;5.52;5.32;0.55;0.53;19801
27;27;5.52;5.52;0.55;0.55;19912
27;26;5.52;5.32;0.55;0.53;20021
27;26;5.52;5.32;0.55;0.53;20130
27;26;5.52;5.32;0.55;0.53;20239
28;26;5.73;5.32;0.57;0.53;20348
28;27;5.73;5.52;0.57;0.55;20459
27;25;5.52;5.11;0.55;0.51;20568
27;26;5.52;5.32;0.55;0.53;20677
29;27;5.93;5.52;0.59;0.55;20786
28;26;5.73;5.32;0.57;0.53;20898
28;26;5.73;5.32;0.57;0.53;21007
27;26;5.52;5.32;0.55;0.53;21116
28;25;5.73;5.11;0.57;0.51;21225
27;26;5.52;5.32;0.55;0.53;21334
28;26;5.73;5.32;0.57;0.53;21443
27;26;5.52;5.32;0.55;0.53;21552
27;26;5.52;5.32;0.55;0.53;21661
27;26;5.52;5.32;0.55;0.53;21770
27;25;5.52;5.11;0.55;0.51;21879
29;28;5.93;5.73;0.59;0.57;22000
27;26;5.52;5.32;0.55;0.53;22109
27;26;5.52;5.32;0.55;0.53;22220
27;25;5.52;5.11;0.55;0.51;22329
27;25;5.52;5.11;0.55;0.51;22438
27;25;5.52;5.11;0.55;0.51;22547
27;26;5.52;5.32;0.55;0.53;22656
28;26;5.73;5.32;0.57;0.53;22765
28;25;5.73;5.11;0.57;0.51;22874
27;27;5.52;5.52;0.55;0.55;22986
28;26;5.73;5.32;0.57;0.53;23095
28;25;5.73;5.11;0.57;0.51;23204
28;26;5.73;5.32;0.57;0.53;23313
27;26;5.52;5.32;0.55;0.53;23422
27;26;5.52;5.32;0.55;0.53;23531
27;25;5.52;5.11;0.55;0.51;23640
26;26;5.32;5.32;0.53;0.53;23749
28;26;5.73;5.32;0.57;0.53;23860
27;26;5.52;5.32;0.55;0.53;23969
