timestamp,Da3_t1,Da3_t2,Da6_t1,Da6_t2,Da7_t1,Da7_t2,Da8_t1,Da8_t2,Da9_t1,Da9_t2
89,1.6104,2.3639,0.7379,0.9537,1.8355,1.3915,2.3452,2.0856,1.2445,0.9162
351,1.6917,2.2733,0.6910,0.9600,1.8011,1.3508,2.3858,2.0700,1.2039,0.9537
613,1.6104,1.6854,0.7192,0.9756,1.7636,1.2758,2.3733,2.0419,1.1257,0.9162
875,1.6322,1.6698,0.7317,0.9725,1.7479,1.3696,2.3483,2.0919,1.2070,0.8912
1137,1.5822,1.6666,0.7442,1.0069,1.6917,1.3665,2.3014,2.1263,1.2101,0.9443
1399,1.6041,1.6854,0.7036,0.9975,1.6979,1.3883,2.3702,2.0888,1.1507,0.8943
1661,1.5853,1.7042,0.7505,1.0131,1.7511,1.3321,2.3921,2.0982,1.2226,0.8787
1923,1.4853,1.6604,0.7317,1.0194,1.7542,1.2633,2.3108,2.0731,1.1288,0.8974
2185,1.6197,1.6635,0.7505,1.0069,1.7417,1.3008,2.2764,2.0387,1.0975,0.8724
2447,1.6979,1.6729,0.7723,0.9944,1.6854,1.2945,2.3483,2.0043,1.1507,0.8474
2709,1.6010,1.6479,0.7411,1.0381,1.6260,1.3039,2.3483,1.9543,1.1914,0.8411
2971,1.6385,1.6072,0.7723,1.0600,1.6010,1.2257,2.3108,1.9449,1.1194,0.8380
3233,1.6104,1.6385,0.8005,1.1101,1.5541,1.2101,2.2639,1.9950,1.0788,0.7974
3495,1.5009,1.6385,0.7849,1.0819,1.5603,1.2101,2.2920,1.9981,1.0475,0.8161
3757,1.6229,1.6291,0.8099,1.2007,1.5947,1.2164,2.2826,1.9950,1.0882,0.8005
4019,1.5853,1.6479,0.8224,1.1163,1.5947,1.1507,2.2670,1.9356,1.0725,0.8224
4281,1.5603,1.6604,0.8443,1.1663,1.5760,1.0975,2.2357,1.9699,1.0819,0.8036
4543,1.6322,1.6354,0.8286,1.1069,1.5322,1.0788,2.2295,1.9105,1.0569,0.8192
4805,1.5603,1.6416,0.8474,1.1663,1.5478,1.0725,2.2201,1.8887,1.0350,0.8443
5067,1.5885,1.7167,0.8724,1.2007,1.5384,1.0694,2.2138,1.8543,1.0162,0.8536
5329,1.5916,1.6573,0.8974,1.1945,1.4915,1.0725,2.1795,1.8511,1.0069,0.8787
5591,1.5728,1.7261,0.9005,1.2320,1.5165,1.0131,2.1732,1.8199,0.9787,0.8662
5853,1.6010,1.7511,0.9162,1.2257,1.4947,1.0162,2.1513,1.7886,0.9944,0.8349
6115,1.6291,1.7010,0.9318,1.2476,1.4884,1.0475,2.1232,1.7730,0.9944,0.8349
6377,1.6229,1.7198,0.9600,1.2852,1.4884,1.0225,2.1388,1.7855,0.9756,0.8630
6639,1.6948,1.7604,0.9631,1.2789,1.4696,0.9944,2.1044,1.8199,0.9475,0.8130
6901,1.6448,1.7386,0.9631,1.3227,1.4415,1.0319,2.1075,1.7917,0.9506,0.8192
7163,1.6698,1.7792,0.9818,1.3258,1.3727,1.0319,2.1044,1.7823,0.9381,0.8067
7425,1.6698,1.7855,0.9975,1.3289,1.3508,0.9662,2.1013,1.7292,0.9600,0.8005
7687,1.6948,1.7730,1.0006,1.3414,1.3758,0.9756,2.0700,1.7261,0.9287,0.7755
7949,1.7135,1.8105,1.0413,1.4040,1.3539,0.9944,2.0638,1.7855,0.9193,0.7942
8211,1.7604,1.8199,1.0444,1.3946,1.3164,0.9693,2.0669,1.7855,0.8818,0.7911
8473,1.7542,1.8292,1.0506,1.3821,1.3039,0.9381,2.0325,1.7198,0.8474,0.8192
8735,1.7354,1.8355,1.0725,1.4759,1.2977,0.9131,2.0231,1.7167,0.8755,0.8255
8997,1.7636,1.8449,1.0913,1.4165,1.3196,0.8630,2.0262,1.7917,0.8787,0.7942
9259,1.7667,1.8417,1.0913,1.4227,1.2508,0.9068,2.0043,1.7667,0.8724,0.7942
9521,1.7886,1.8668,1.1319,1.5353,1.2727,0.8536,2.0106,1.6541,0.8662,0.8005
