timestamp,Da3_t1,Da3_t2,Da6_t1,Da6_t2,Da7_t1,Da7_t2,Da8_t1,Da8_t2,Da9_t1,Da9_t2
89,1.5291,1.5541,0.7254,1.0444,1.7479,1.2883,2.4015,2.0606,1.1132,0.8693
351,1.6166,2.0419,0.7098,0.9568,1.7417,1.3571,2.3577,2.0950,1.2508,0.8755
613,1.5134,2.1888,0.7129,1.0100,1.6979,1.3289,2.2951,2.0794,1.1757,0.9099
875,1.4759,2.4015,0.6942,0.9662,1.6917,1.3102,2.2951,2.0950,1.2164,0.8912
1137,1.5478,1.9637,0.7036,1.0006,1.7229,1.3164,2.3514,2.0544,1.1663,0.9287
1399,1.5728,1.8574,0.6973,0.9475,1.7261,1.3133,2.3608,2.0825,1.1788,0.9224
1661,-2.0606,1.6072,0.7129,0.9944,1.7167,1.3258,2.3514,2.0794,1.2539,0.9193
1923,1.6354,1.5416,0.7192,0.9881,1.7448,1.3227,2.3139,2.0700,1.2445,0.9068
2185,1.5635,1.7042,0.7223,1.0069,1.6823,1.2633,2.3202,2.0325,1.2039,0.8943
2447,1.5228,1.5822,0.7161,1.0288,1.6729,1.2320,2.3264,2.0325,1.1382,0.8630
2709,1.5072,1.6979,0.7129,0.9944,1.6541,1.2601,2.2951,2.0043,1.1601,0.8380
2971,1.5291,1.6854,0.7630,1.0506,1.6698,1.2508,2.2764,2.0262,1.1601,0.8536
3233,1.5197,1.6260,0.7536,1.0538,1.6635,1.2789,2.2858,1.9950,1.0663,0.8755
3495,1.8042,1.6479,0.7723,1.0350,1.6479,1.2508,2.2858,2.0231,1.1444,0.8318
3757,1.4571,1.6104,0.7786,1.1101,1.6104,1.2320,2.2389,2.0106,1.0850,0.8099
4019,1.4728,1.6104,0.8099,1.0975,1.6041,1.2257,2.2701,1.9793,1.0694,0.8380
4281,1.5791,1.6166,0.8067,1.0882,1.5697,1.2257,2.2545,1.9387,1.0475,0.8255
4543,1.5291,1.6385,0.8255,1.1132,1.5760,1.2039,2.2608,1.9918,1.0194,0.8192
4805,1.4978,1.6666,0.8443,1.1132,1.5666,1.1319,2.2326,1.9543,0.9944,0.8099
5067,1.6072,1.6479,0.8224,1.1288,1.5603,1.1444,2.2107,1.9606,1.0100,0.8161
5329,1.6229,1.7198,0.8662,1.1914,1.5916,1.1444,2.2107,1.9762,0.9818,0.8224
5591,1.6104,1.7323,0.8787,1.2007,1.5040,1.1038,2.2013,1.8824,1.0037,0.8099
5853,1.6135,1.6291,0.8693,1.2039,1.5134,1.0788,2.1638,1.8793,0.9756,0.8411
6115,1.6291,1.7354,0.8912,1.2508,1.4634,1.0819,2.1607,1.8511,0.9662,0.8005
6377,1.6322,1.7104,0.9099,1.2508,1.5165,1.0663,2.1325,1.8511,0.9912,0.8130
