6.746000,0.200000,6.967000,0.200000,7.201000,0.200000,7.079000,0.200000
6.441000,0.200000,7.356000,0.200000,7.417000,0.200000,7.295000,0.200000
6.244000,0.200000,7.455000,0.200000,7.708000,0.200000,7.624000,0.200000
6.033000,0.200000,7.896000,0.200000,8.008000,0.200000,7.886000,0.200000
5.827000,0.200000,8.168000,0.200000,8.196000,0.200000,8.144000,0.200000
4.996000,0.200000,8.440000,0.200000,8.262000,0.200000,8.614000,0.200000
4.757000,0.200000,8.548000,0.200000,8.107000,0.200000,8.998000,0.200000
4.626000,0.200000,8.721000,0.200000,7.966000,0.200000,9.224000,0.200000
4.382000,0.200000,9.636000,0.200000,7.783000,0.200000,9.435000,0.200000
4.166000,0.200000,9.632000,0.200000,7.717000,0.200000,9.716000,0.200000
4.006000,0.200000,9.838000,0.200000,7.628000,0.200000,9.946000,0.200000
3.762000,0.200000,10.542000,0.200000,7.572000,0.200000,10.481000,0.200000
3.729000,0.200000,10.776000,0.200000,7.539000,0.200000,11.157000,0.200000
3.823000,0.200000,11.171000,0.200000,7.675000,0.200000,11.400000,0.200000
3.856000,0.200000,11.405000,0.200000,7.624000,0.200000,11.734000,0.200000
4.063000,0.200000,12.189000,0.200000,7.802000,0.200000,12.222000,0.200000
5.278000,0.200000,13.990000,0.200000,8.501000,0.200000,13.854000,0.200000
8.834000,0.200000,14.666000,0.200000,7.708000,0.200000,15.023000,0.200000
8.022000,0.200000,13.990000,0.200000,6.788000,0.200000,13.606000,0.200000
7.675000,0.200000,13.371000,0.200000,6.376000,0.200000,12.963000,0.200000
6.896000,0.200000,10.612000,0.200000,5.006000,0.200000,10.561000,0.200000
6.657000,0.200000,10.045000,0.200000,4.959000,0.200000,10.002000,0.200000
6.559000,0.200000,9.444000,0.200000,4.832000,0.200000,9.482000,0.200000
6.469000,0.200000,8.332000,0.200000,4.823000,0.200000,8.994000,0.200000
6.615000,0.200000,7.863000,0.200000,4.804000,0.200000,8.426000,0.200000
6.624000,0.200000,7.858000,0.200000,4.823000,0.200000,8.069000,0.200000
6.671000,0.200000,7.858000,0.200000,4.827000,0.200000,8.126000,0.200000
6.699000,0.200000,7.825000,0.200000,4.827000,0.200000,8.083000,0.200000
6.662000,0.200000,7.858000,0.200000,4.837000,0.200000,8.069000,0.200000
6.685000,0.200000,7.868000,0.200000,4.846000,0.200000,8.093000,0.200000
6.676000,0.200000,7.844000,0.200000,4.823000,0.200000,8.069000,0.200000
6.685000,0.200000,7.839000,0.200000,4.855000,0.200000,8.083000,0.200000
6.681000,0.200000,7.886000,0.200000,4.813000,0.200000,8.107000,0.200000
6.643000,0.200000,7.868000,0.200000,4.902000,0.200000,8.112000,0.200000
6.666000,0.200000,7.844000,0.200000,4.837000,0.200000,8.102000,0.200000
6.629000,0.200000,7.774000,0.200000,5.029000,0.200000,7.910000,0.200000
6.798000,0.200000,7.319000,0.200000,5.311000,0.200000,7.422000,0.200000
7.028000,0.200000,6.742000,0.200000,5.569000,0.200000,6.953000,0.200000
7.319000,0.200000,5.906000,0.200000,5.991000,0.200000,6.516000,0.200000
7.572000,0.200000,6.216000,0.200000,6.333000,0.200000,6.221000,0.200000
5.845000,0.200000,7.802000,0.200000,8.144000,0.200000,8.074000,0.200000
5.442000,0.200000,8.262000,0.200000,8.496000,0.200000,8.553000,0.200000
4.954000,0.200000,8.337000,0.200000,8.191000,0.200000,8.764000,0.200000
4.687000,0.200000,9.402000,0.200000,7.980000,0.200000,9.064000,0.200000
4.353000,0.200000,9.514000,0.200000,7.816000,0.200000,9.467000,0.200000
3.762000,0.200000,10.448000,0.200000,7.581000,0.200000,10.284000,0.200000
3.931000,0.200000,10.959000,0.200000,7.506000,0.200000,11.330000,0.200000
4.002000,0.200000,11.457000,0.200000,7.666000,0.200000,11.762000,0.200000
9.721000,0.200000,15.379000,0.200000,8.820000,0.200000,15.975000,0.200000
7.760000,0.200000,13.854000,0.200000,6.333000,0.200000,13.047000,0.200000
7.689000,0.200000,13.526000,0.200000,6.071000,0.200000,12.362000,0.200000
7.825000,0.200000,12.184000,0.200000,5.644000,0.200000,11.752000,0.200000
7.197000,0.200000,10.701000,0.200000,5.160000,0.200000,11.147000,0.200000
6.934000,0.200000,10.030000,0.200000,5.062000,0.200000,10.654000,0.200000
6.460000,0.200000,8.445000,0.200000,4.855000,0.200000,8.524000,0.200000
6.554000,0.200000,7.957000,0.200000,4.954000,0.200000,8.041000,0.200000
6.770000,0.200000,7.398000,0.200000,5.212000,0.200000,7.572000,0.200000
6.971000,0.200000,6.319000,0.200000,5.503000,0.200000,7.070000,0.200000
7.215000,0.200000,5.981000,0.200000,5.921000,0.200000,6.662000,0.200000
7.093000,0.200000,6.399000,0.200000,6.845000,0.200000,6.685000,0.200000
7.103000,0.200000,6.371000,0.200000,6.845000,0.200000,6.713000,0.200000
