6.835000,0.150000,6.343000,0.150000,7.032000,0.150000,6.681000,0.150000,9.571000,0.350000,12.855000,0.350000,14.056000,0.350000,4.846000,0.350000
6.155000,0.150000,6.967000,0.150000,6.746000,0.150000,6.943000,0.150000,9.571000,0.150000,12.855000,0.150000,14.056000,0.350000,4.846000,0.350000
5.949000,0.150000,7.356000,0.150000,6.441000,0.150000,7.230000,0.150000,9.266000,0.350000,13.043000,0.150000,14.056000,0.350000,4.846000,0.350000
5.517000,0.150000,7.896000,0.150000,6.033000,0.150000,7.994000,0.150000,8.961000,0.150000,13.165000,0.150000,14.056000,0.350000,4.846000,0.350000
5.357000,0.150000,8.168000,0.150000,5.827000,0.150000,8.205000,0.150000,8.740000,0.150000,12.830077,0.350000,14.056000,0.350000,4.846000,0.350000
5.489000,0.150000,8.210000,0.150000,5.315000,0.150000,8.130000,0.150000,8.458500,0.350000,12.495154,0.350000,14.056000,0.350000,4.846000,0.350000
5.738000,0.150000,8.440000,0.150000,4.996000,0.150000,7.975000,0.150000,8.177000,0.150000,12.160231,0.350000,14.056000,0.350000,4.846000,0.350000
6.150500,0.350000,8.548000,0.150000,4.757000,0.150000,7.797000,0.150000,7.806500,0.350000,11.825308,0.350000,14.056000,0.350000,4.846000,0.350000
6.563000,0.150000,8.634500,0.350000,4.691500,0.350000,7.757000,0.350000,7.436000,0.150000,11.490385,0.350000,14.056000,0.150000,4.846000,0.350000
6.671000,0.150000,8.721000,0.150000,4.626000,0.150000,7.717000,0.150000,7.145000,0.150000,11.155462,0.350000,13.543000,0.350000,4.846000,0.350000
7.497000,0.150000,9.632000,0.150000,4.166000,0.150000,7.305000,0.150000,6.305000,0.150000,10.820538,0.350000,13.030000,0.350000,4.846000,0.350000
7.628000,0.150000,9.838000,0.150000,4.006000,0.150000,7.267000,0.150000,6.019000,0.150000,10.485615,0.350000,12.517000,0.350000,4.846000,0.350000
7.924000,0.150000,10.223000,0.150000,3.828000,0.150000,7.220000,0.150000,5.665000,0.350000,10.150692,0.350000,12.004000,0.350000,4.846000,0.350000
8.234000,0.150000,10.542000,0.150000,3.762000,0.150000,7.178000,0.150000,5.311000,0.150000,9.815769,0.350000,11.491000,0.350000,4.846000,0.350000
9.181000,0.150000,10.776000,0.150000,3.729000,0.150000,7.211000,0.150000,4.635000,0.150000,9.480846,0.350000,10.978000,0.350000,4.846000,0.350000
9.955000,0.150000,11.171000,0.150000,3.823000,0.150000,7.131000,0.150000,4.274000,0.150000,9.145923,0.350000,10.465000,0.350000,4.846000,0.350000
10.256000,0.150000,11.590500,0.350000,3.891000,0.350000,7.915000,0.150000,3.948000,0.350000,8.811000,0.150000,9.952000,0.350000,4.846000,0.350000
10.134000,0.150000,12.010000,0.150000,3.959000,0.150000,7.722000,0.150000,3.622000,0.150000,8.480000,0.350000,9.439000,0.150000,4.846000,0.350000
10.476000,0.150000,12.189000,0.150000,4.063000,0.150000,7.985000,0.150000,3.373000,0.150000,8.149000,0.150000,9.038000,0.350000,4.846000,0.350000
10.823000,0.150000,13.136000,0.150000,4.644000,0.150000,7.980000,0.150000,2.707000,0.150000,7.774000,0.150000,8.637000,0.150000,4.846000,0.350000
11.218000,0.150000,13.357000,0.150000,4.804000,0.150000,8.773000,0.150000,2.560000,0.350000,7.381333,0.350000,8.194000,0.350000,4.846000,0.350000
11.565000,0.350000,13.357000,0.150000,4.968000,0.150000,8.731000,0.150000,2.413000,0.350000,6.988667,0.350000,7.751000,0.350000,4.846000,0.350000
11.912000,0.150000,13.673500,0.350000,5.123000,0.350000,8.771000,0.350000,2.266000,0.150000,6.596000,0.150000,7.308000,0.350000,4.846000,0.350000
12.386000,0.150000,13.990000,0.150000,5.278000,0.150000,8.811000,0.150000,2.181000,0.150000,6.185500,0.350000,6.865000,0.350000,4.846000,0.350000
13.202000,0.150000,15.365000,0.150000,6.005000,0.150000,9.167000,0.150000,2.139000,0.150000,5.775000,0.150000,6.422000,0.350000,4.846000,0.350000
13.643000,0.150000,15.295000,0.150000,6.350000,0.350000,9.317000,0.150000,2.369000,0.350000,5.400000,0.150000,5.979000,0.350000,4.846000,0.350000
13.995000,0.150000,15.576000,0.150000,6.695000,0.150000,9.937000,0.150000,2.599000,0.150000,5.170000,0.150000,5.536000,0.150000,4.846000,0.350000
14.375000,0.150000,16.974000,0.150000,7.286000,0.150000,10.270000,0.150000,2.786500,0.350000,5.142000,0.350000,5.271000,0.350000,4.846000,0.350000
15.129400,0.350000,16.667000,0.350000,7.621500,0.350000,10.232500,0.350000,2.974000,0.150000,5.114000,0.150000,5.006000,0.150000,4.846000,0.350000
15.883800,0.350000,16.360000,0.150000,7.957000,0.150000,10.195000,0.150000,3.476000,0.150000,4.710000,0.150000,4.485000,0.150000,4.846000,0.350000
16.638200,0.350000,17.021000,0.150000,8.548000,0.150000,10.931000,0.150000,4.231500,0.350000,4.433000,0.350000,3.940500,0.350000,4.846000,0.350000
17.392600,0.350000,17.915000,0.350000,9.214000,0.150000,11.111800,0.350000,4.987000,0.150000,4.156000,0.150000,3.396000,0.150000,4.846000,0.350000
18.147000,0.150000,18.809000,0.150000,10.082000,0.150000,11.292600,0.350000,5.606000,0.150000,4.504000,0.150000,2.819000,0.150000,4.846000,0.350000
18.710000,0.150000,19.395000,0.150000,10.516000,0.350000,11.473400,0.350000,6.216000,0.150000,4.630000,0.150000,3.429000,0.150000,4.846000,0.350000
19.283000,0.150000,20.349750,0.350000,10.950000,0.150000,11.654200,0.350000,6.760000,0.150000,4.672000,0.150000,2.913000,0.150000,4.846000,0.350000
19.918500,0.350000,21.304500,0.350000,11.137250,0.350000,11.835000,0.350000,7.351000,0.150000,5.207000,0.150000,2.965000,0.150000,4.846000,0.350000
20.554000,0.150000,22.259250,0.350000,11.324500,0.350000,12.015800,0.350000,7.952000,0.150000,5.526000,0.150000,3.087000,0.150000,4.846000,0.350000
20.351455,0.350000,23.214000,0.150000,11.511750,0.350000,12.196600,0.350000,8.562000,0.150000,5.930000,0.150000,3.950000,0.150000,4.846000,0.150000
20.148909,0.350000,23.338800,0.350000,11.699000,0.350000,12.377400,0.350000,9.801000,0.150000,6.507000,0.150000,4.395500,0.350000,4.264000,0.150000
19.946364,0.350000,23.463600,0.350000,11.886250,0.350000,12.558200,0.350000,10.326000,0.150000,7.185000,0.350000,4.841000,0.150000,4.044000,0.150000
19.743818,0.350000,23.588400,0.350000,12.073500,0.350000,12.739000,0.350000,10.856000,0.150000,7.863000,0.150000,5.399500,0.350000,3.748000,0.150000
19.541273,0.350000,23.713200,0.350000,12.260750,0.350000,12.919800,0.350000,10.793667,0.350000,7.122000,0.150000,5.958000,0.150000,2.374000,0.150000
19.338727,0.350000,23.838000,0.150000,12.448000,0.350000,13.100600,0.350000,10.731333,0.350000,7.126000,0.150000,4.748000,0.150000,2.383000,0.150000
19.136182,0.350000,22.607333,0.350000,12.635250,0.350000,13.281400,0.350000,10.669000,0.150000,6.235000,0.150000,4.593000,0.150000,2.899000,0.150000
18.933636,0.350000,21.376667,0.350000,12.822500,0.350000,13.462200,0.350000,10.490000,0.150000,5.564000,0.150000,4.020000,0.150000,3.279000,0.150000
18.731091,0.350000,20.146000,0.150000,13.009750,0.350000,13.643000,0.150000,8.520000,0.150000,4.030000,0.150000,2.514000,0.150000,6.014000,0.150000
18.528545,0.350000,19.480000,0.150000,13.197000,0.150000,12.334000,0.150000,7.422000,0.150000,3.476000,0.150000,2.214000,0.150000,6.249000,0.150000
