anchors;baseline;sigma_uwb;rmse_pos_mean;rmse_pos_std;rmse_heading_mean;rmse_heading_std
3;0.3;0.05;0.045736453503603246;0.0025224684467517714;4.246777282540503;0.4780781987360692
3;0.3;0.1;0.05631509990956421;0.0037224937893809607;3.7659096150250297;0.5505423738934928
3;0.3;0.2;0.08014971160080514;0.0067841320113309475;4.157479143609763;0.9615518676982088
3;0.5;0.05;0.04548161059713033;0.002208850170496364;3.7037999025565522;0.45013276828681353
3;0.5;0.1;0.054711133703790986;0.0033055970347428084;3.77144281198519;0.5728307770596058
3;0.5;0.2;0.07784682881649674;0.007091005552878644;4.144354470695618;0.634262983098654
3;0.65;0.05;0.044776358799001194;0.0020696149093102595;3.150773459417367;0.26738884668610985
3;0.65;0.1;0.05437221759753518;0.0030628755059516274;3.54169008340963;0.34482254949654007
3;0.65;0.2;0.07733561223225312;0.0054728847540969315;3.83518781614606;0.5525888476761616
3;0.85;0.05;0.045412702540917886;0.0020034477602363736;2.8526012698786913;0.28985329592892234
3;0.85;0.1;0.054629840422113114;0.003626656870810756;3.1806981141510584;0.398159290269503
3;0.85;0.2;0.07822965611731528;0.008581560507928404;4.026837024331334;0.6584553687540932
4;0.3;0.05;0.04119126740751839;0.0019679472539278335;4.007909720643774;0.5326819610576483
4;0.3;0.1;0.05021781253699838;0.0032036900297414688;4.021248206467329;0.7290945024470905
4;0.3;0.2;0.07255131870588866;0.005564311793571187;4.092377765414161;0.8016410911334353
4;0.5;0.05;0.04164996910986811;0.0014735567893461286;3.367847771388769;0.3459746596763393
4;0.5;0.1;0.04918923339054348;0.003193847251688083;3.5514756259642946;0.4765930278862766
4;0.5;0.2;0.07082619579657147;0.00584268718029452;3.9582615052656207;0.7685486803688264
4;0.65;0.05;0.04078028821298667;0.001883754028265674;2.9414030158737403;0.2784058039094522
4;0.65;0.1;0.0493718120001956;0.0023088340803030277;3.353180845474916;0.45769231571452446
4;0.65;0.2;0.0718605990146277;0.005160850829296697;3.992040216016619;0.6255493412504741
4;0.85;0.05;0.040756555005527086;0.0019062673482882438;2.6009696822531874;0.19681983458013605
4;0.85;0.1;0.04911800565620261;0.0031539665263847134;2.9810224066656215;0.3386048685202905
4;0.85;0.2;0.06963229926965901;0.007359711200797415;3.793691113409045;0.5937703080452341
5;0.3;0.05;0.03975869328920764;0.0017895624092073542;3.854361432031532;0.48487063783518836
5;0.3;0.1;0.04848602207560325;0.003178009959440093;3.8534584848116045;0.533646320972391
5;0.3;0.2;0.06791449768985813;0.005216386035220178;3.9743955099666572;0.6753751510395202
5;0.5;0.05;0.03970791052101339;0.0017402010506383445;3.1745967014042167;0.34168525993396814
5;0.5;0.1;0.04721117652195547;0.0025363951552874165;3.4547512102073212;0.4684214904127707
5;0.5;0.2;0.06725665241533713;0.005730948186028074;3.8699579754456925;0.8881585425186866
5;0.65;0.05;0.03868888408851469;0.0017754785011461708;2.867260446577704;0.26596669225960295
5;0.65;0.1;0.04668571559170258;0.003153918129084329;3.0624193522978067;0.342343376557766
5;0.65;0.2;0.06648979527470869;0.003686718819462015;3.71196452657355;0.4822725800237212
5;0.85;0.05;0.03896106647544801;0.0016798299195940306;2.465163163485442;0.17480208123575489
5;0.85;0.1;0.046661963852208575;0.0024360173486101602;2.798666759844919;0.36541208084581295
5;0.85;0.2;0.06651255789004015;0.005990793310234392;3.623784576897721;0.5174672950583418
6;0.3;0.05;0.038334388054112656;0.0018945774538712081;3.8000658464969077;0.5284245898712531
6;0.3;0.1;0.04632228638170584;0.0026762916169914388;3.7300084850106474;0.5068024547248942
6;0.3;0.2;0.06688414438662876;0.0052536468937733624;3.886365866636201;0.7330434079940511
6;0.5;0.05;0.038194657003804235;0.0015263822719233909;3.116126490423414;0.3038685492037834
6;0.5;0.1;0.04650729138780597;0.0024301712085706595;3.4083082038088817;0.411578228923512
6;0.5;0.2;0.06505642928861642;0.005533812979314692;3.929415935682024;0.6682020453716014
6;0.65;0.05;0.038030344474867674;0.0021677828535927503;2.7109013314186203;0.25585265095353277
6;0.65;0.1;0.04568842635140906;0.003482088910866622;2.9714345506499042;0.35293363498813957
6;0.65;0.2;0.06251934540715401;0.0043592061739596705;3.6196668063285373;0.5449941722411219
6;0.85;0.05;0.03757577088411583;0.0015479666950288275;2.320743885207938;0.14264311796410714
6;0.85;0.1;0.045593570841984205;0.002533383505031542;2.7149485568549347;0.29131512355096506
6;0.85;0.2;0.06338337790619136;0.004248698201415345;3.333495946313243;0.3870106081837572
7;0.3;0.05;0.036556376596008466;0.001531173858224174;3.589890245317706;0.4361361565201052
7;0.3;0.1;0.045607982828990125;0.0024150485680315146;3.6999122364202774;0.5575576765610778
7;0.3;0.2;0.06534406557006156;0.0050574408394500996;3.6780348685229733;0.6094127889384908
7;0.5;0.05;0.036792326862429656;0.0013876952615552254;3.0231934830197593;0.29238534043382786
7;0.5;0.1;0.0438785031265484;0.002404420788851892;3.1962972946759014;0.36454383403906754
7;0.5;0.2;0.06371373566824243;0.004197359644503435;3.718541708618545;0.5072727828341204
7;0.65;0.05;0.03599716308369577;0.0016415852037771114;2.579276649866731;0.21673480478923174
7;0.65;0.1;0.04386516568184829;0.0021185784641982843;2.8913597940228954;0.28407671792831346
7;0.65;0.2;0.06275636083316938;0.004504830435811671;3.421491641175365;0.5028497477391265
7;0.85;0.05;0.036177319352606443;0.0014461453696318239;2.2644781869504986;0.1633763762799015
7;0.85;0.1;0.043984094309643035;0.0029747906860194363;2.6016097428619287;0.24372344092153111
7;0.85;0.2;0.060416425276887134;0.0035941885228727884;3.2198755778969894;0.39018829905243524
