Time(s);v_r_noisy(m/s);v_l_noisy(m/s);v(m/s);omega(rad/s);x(m);y(m);theta(rad)
0.0;0.5009;0.30091;0.02;0.05;0.002;0.0;0.005
0.1;1.00036;0.60026;0.04;0.1;0.006;2e-05;0.015
0.2;1.50004;0.90011;0.06;0.15;0.012;0.00011;0.03
0.3;1.99998;1.20064;0.08;0.2;0.02;0.00035;0.05
0.4;2.49953;1.50011;0.1;0.25;0.02998;0.00085;0.075
0.5;3.0005;1.80046;0.12;0.3;0.04195;0.00175;0.105
0.6;3.50003;2.10076;0.14;0.35;0.05587;0.00322;0.14
0.7;4.00017;2.40121;0.16;0.4;0.07172;0.00545;0.18
0.8;4.49951;2.69963;0.18;0.45;0.08942;0.00867;0.225
0.9;4.99999;3.00052;0.2;0.5;0.10892;0.01313;0.275
1.0;5.50007;3.2999;0.22;0.55;0.13009;0.01911;0.33
1.1;5.99971;3.59937;0.24;0.6;0.1528;0.02688;0.39
1.2;6.50003;3.89988;0.26;0.65;0.17685;0.03677;0.455
1.3;6.99999;4.19965;0.28;0.7;0.202;0.04907;0.525
1.4;6.90541;3.90519;0.27025;0.75;0.22538;0.06262;0.6
1.5;6.76424;3.56419;0.25822;0.8;0.2467;0.0772;0.68
1.6;6.42833;3.42926;0.24644;0.75;0.26586;0.0927;0.755
1.7;6.09757;3.29785;0.2349;0.7;0.28297;0.10879;0.825
1.8;5.77394;3.17352;0.22369;0.65;0.29814;0.12522;0.89
1.9;5.45666;3.05693;0.21284;0.6;0.31154;0.14176;0.95
2.0;5.14766;2.94741;0.20239;0.55;0.32331;0.15823;1.005
2.1;4.84779;2.84683;0.19237;0.5;0.33363;0.17447;1.055
2.2;4.55593;2.75613;0.18279;0.45;0.34264;0.19037;1.1
2.3;4.27252;2.67308;0.17366;0.4;0.35052;0.20584;1.14
2.4;3.99933;2.59916;0.16498;0.35;0.35741;0.22083;1.175
2.5;3.73467;2.53495;0.15674;0.3;0.36345;0.2353;1.205
2.6;3.4785;2.4783;0.14892;0.25;0.36878;0.2492;1.23
2.7;3.2305;2.42982;0.14153;0.2;0.37351;0.26254;1.25
2.8;2.9907;2.39087;0.13452;0.15;0.37775;0.27531;1.265
