Time(s);v_r_noisy(m/s);v_l_noisy(m/s);v(m/s);omega(rad/s);x(m);y(m);theta(rad)
2.9;2.75833;2.35777;0.1279;0.1;0.3816;0.2875;1.275
3.0;2.53266;2.33353;0.12163;0.05;0.38515;0.29914;1.28
3.1;2.3137;2.31319;0.11569;0.0;0.38846;0.31022;1.28
3.2;2.10104;2.30081;0.11006;-0.05;0.39162;0.32077;1.275
3.3;1.8944;2.29469;0.10473;-0.1;0.39467;0.33078;1.265
3.4;1.6929;2.29335;0.09966;-0.15;0.39767;0.34029;1.25
3.5;1.49669;2.29667;0.09484;-0.2;0.40066;0.34929;1.23
3.6;1.30506;2.30456;0.09025;-0.25;0.40368;0.35779;1.205
3.7;1.1166;2.3163;0.08588;-0.3;0.40675;0.36581;1.175
3.8;0.93399;2.33507;0.0817;-0.35;0.4099;0.37335;1.14
3.9;0.80443;2.30453;0.07771;-0.37511;0.41315;0.38041;1.10249
4.0;0.82738;2.12794;0.0739;-0.32511;0.41648;0.38701;1.06998
4.1;0.854;1.95519;0.07025;-0.27511;0.41985;0.39317;1.04247
4.2;0.87394;1.79696;0.06678;-0.23063;0.42322;0.39894;1.01941
4.3;0.87559;1.66237;0.06346;-0.19661;0.42655;0.40434;0.99974
4.4;0.87089;1.54157;0.0603;-0.16762;0.4298;0.40942;0.98298
4.5;0.86079;1.43149;0.0573;-0.1429;0.43298;0.41419;0.96869
4.6;0.84532;1.33203;0.05444;-0.12184;0.43607;0.41867;0.95651
4.7;0.82802;1.24277;0.05172;-0.10388;0.43905;0.4229;0.94612
4.8;1.12717;1.7429;0.07172;-0.15388;0.44324;0.42872;0.93073
4.9;1.42741;2.24184;0.09172;-0.20388;0.44872;0.43607;0.91035
5.0;1.72699;2.74238;0.11172;-0.25388;0.45557;0.4449;0.88496
5.1;2.02687;3.24225;0.13172;-0.30388;0.46392;0.45509;0.85457
5.2;2.32643;3.7429;0.15172;-0.35388;0.47388;0.46654;0.81918
5.3;2.62652;4.24169;0.17172;-0.40388;0.4856;0.47908;0.7788
5.4;2.92785;4.7424;0.19172;-0.45388;0.49925;0.49255;0.73341
5.5;3.22639;5.2419;0.21172;-0.50388;0.51498;0.50672;0.68302
5.6;3.52715;5.743;0.23172;-0.55388;0.53295;0.52135;0.62763
5.7;3.82626;6.24106;0.25172;-0.60388;0.55333;0.53613;0.56725
5.8;4.12644;6.74103;0.27172;-0.65388;0.57624;0.55073;0.50186
5.9;4.42632;7.24208;0.29172;-0.70388;0.60182;0.56476;0.43147
6.0;4.72582;7.74332;0.31172;-0.75388;0.63014;0.5778;0.35608
6.1;5.12983;8.13942;0.33172;-0.75237;0.66123;0.58936;0.28085
6.2;5.62942;8.4404;0.35172;-0.70237;0.69502;0.59911;0.21061
6.3;6.12913;8.73879;0.37172;-0.65237;0.73137;0.60688;0.14537
6.4;6.6298;9.03948;0.39172;-0.60237;0.77013;0.61256;0.08514
6.5;7.1292;9.33921;0.41172;-0.55237;0.81116;0.61606;0.0299
6.6;7.62982;9.64011;0.43172;-0.50237;0.85431;0.61735;-0.02034
6.7;8.13021;9.93984;0.45172;-0.45237;0.89947;0.61643;-0.06557
6.8;8.62962;10.239;0.47172;-0.40237;0.94654;0.61334;-0.10581
6.9;9.12992;10.53977;0.49172;-0.35237;0.99544;0.60815;-0.14105
7.0;9.62995;10.83958;0.51172;-0.30237;1.0461;0.60095;-0.17128
7.1;10.13042;11.13874;0.53172;-0.25237;1.0985;0.59189;-0.19652
7.2;10.63009;11.43949;0.55172;-0.20237;1.15261;0.58112;-0.21676
7.3;11.12985;11.73855;0.57172;-0.15237;1.20844;0.56882;-0.23199
7.4;11.62989;12.03939;0.59172;-0.10237;1.26603;0.55522;-0.24223
7.5;12.12853;12.33926;0.61172;-0.05237;1.32542;0.54054;-0.24747
7.6;12.62907;12.63928;0.63172;-0.00237;1.38667;0.52507;-0.2477
7.7;13.13076;12.93919;0.65172;0.04763;1.44985;0.50909;-0.24294
7.8;13.63025;13.23949;0.67172;0.09763;1.51505;0.49293;-0.23318
7.9;14.12995;13.53979;0.69172;0.14763;1.58235;0.47695;-0.21842
8.0;14.63004;13.83897;0.71172;0.19763;1.65183;0.46152;-0.19865
8.1;15.12998;14.1392;0.73172;0.24763;1.72356;0.44708;-0.17389
8.2;15.62882;14.43913;0.75172;0.29763;1.7976;0.43408;-0.14413
8.3;16.10842;14.76073;0.77172;0.33703;1.87398;0.42299;-0.11042
8.4;16.409;15.26058;0.79172;0.28703;1.95267;0.41427;-0.08172
8.5;16.47362;15.52568;0.8;0.23703;2.0324;0.40774;-0.05802
8.6;16.3817;15.61815;0.8;0.19078;2.11226;0.4031;-0.03894
8.7;16.31793;15.68125;0.8;0.159;2.1922;0.39999;-0.02304
8.8;16.26469;15.73472;0.8;0.1327;2.27218;0.39814;-0.00977
8.9;16.22174;15.77764;0.8;0.11092;2.35218;0.39736;0.00132
9.0;16.18535;15.81493;0.8;0.09286;2.43218;0.39747;0.01061
9.1;16.15492;15.84485;0.8;0.07787;2.51217;0.39832;0.0184
9.2;16.13087;15.87002;0.8;0.06543;2.59216;0.39979;0.02494
9.3;16.11002;15.88989;0.8;0.05508;2.67214;0.40178;0.03045
9.4;16.09347;15.90659;0.8;0.04647;2.7521;0.40422;0.03509
9.5;16.07852;15.92094;0.8;0.0393;2.83205;0.40702;0.03902
9.6;16.06672;15.93249;0.8;0.03332;2.91199;0.41015;0.04236
9.7;15.96195;15.84923;0.79528;0.02833;2.99144;0.41351;0.04519
9.8;15.5531;15.4566;0.77528;0.02416;3.06889;0.41702;0.0476
9.9;15.14659;15.06455;0.75528;0.02063;3.14434;0.42061;0.04967
10.0;14.74031;14.6699;0.73528;0.01765;3.21777;0.42426;0.05143
10.1;14.33658;14.27548;0.71528;0.01513;3.28921;0.42794;0.05295
10.2;13.93186;13.87958;0.69528;0.013;3.35864;0.43162;0.05425
10.3;13.52772;13.48266;0.67528;0.01119;3.42606;0.43528;0.05537
10.4;13.12498;13.08618;0.65528;0.00965;3.49149;0.4389;0.05633
10.5;12.72138;12.68884;0.63528;0.00835;3.55492;0.44248;0.05717
10.6;12.32026;12.29075;0.61528;0.00724;3.61634;0.446;0.05789
10.7;11.91887;11.89253;0.59528;0.0063;3.67577;0.44944;0.05852
10.8;11.51656;11.4946;0.57528;0.00549;3.7332;0.4528;0.05907
10.9;11.11548;11.09539;0.55528;0.0048;3.78863;0.45608;0.05955
11.0;10.71388;10.69779;0.53528;0.00422;3.84206;0.45927;0.05997
11.1;10.31272;10.29826;0.51528;0.00372;3.8935;0.46236;0.06034
11.2;9.91245;9.89936;0.49528;0.00329;3.94294;0.46534;0.06067
11.3;9.5103;9.49949;0.47528;0.00292;3.99038;0.46823;0.06096
11.4;9.11107;9.10074;0.45528;0.00261;4.03582;0.471;0.06122
11.5;8.70952;8.70086;0.43528;0.00234;4.07927;0.47366;0.06146
11.6;8.30996;8.30146;0.41528;0.00212;4.12072;0.47621;0.06167
11.7;7.90968;7.9015;0.39528;0.00192;4.16017;0.47865;0.06186
11.8;7.50887;7.50199;0.37528;0.00176;4.19762;0.48097;0.06204
11.9;7.10883;7.10146;0.35528;0.00163;4.23308;0.48317;0.0622
12.0;6.70873;6.70293;0.33528;0.00152;4.26655;0.48526;0.06235
12.1;6.30753;6.30297;0.31528;0.00143;4.29801;0.48722;0.0625
12.2;5.90848;5.90335;0.29528;0.00137;4.32748;0.48907;0.06263
12.3;5.50851;5.50323;0.27528;0.00133;4.35496;0.49079;0.06277
12.4;5.10856;5.10278;0.25528;0.00132;4.38043;0.49239;0.0629
12.5;4.7082;4.70321;0.23528;0.00133;4.40391;0.49387;0.06303
12.6;5.20803;5.00296;0.25528;0.05133;4.42939;0.49548;0.06817
12.7;5.70853;5.30287;0.27528;0.10133;4.45685;0.49735;0.0783
12.8;6.20822;5.60295;0.29528;0.15133;4.48629;0.49966;0.09343
12.9;6.70868;5.90266;0.31528;0.20133;4.51768;0.5026;0.11357
13.0;7.20826;6.20262;0.33528;0.25133;4.55099;0.5064;0.1387
13.1;7.70717;6.50294;0.35528;0.30133;4.58618;0.51131;0.16883
13.2;8.20772;6.80172;0.37528;0.35133;4.62317;0.51762;0.20397
13.3;8.70856;7.10262;0.39528;0.40133;4.66188;0.52563;0.2441
13.4;9.20734;7.40327;0.41528;0.45133;4.70218;0.53566;0.28923
13.5;9.70863;7.70343;0.43528;0.50133;4.7439;0.54808;0.33936
13.6;10.20911;8.00244;0.45528;0.55133;4.78683;0.56323;0.3945
13.7;10.70804;8.3026;0.47528;0.60133;4.83071;0.5815;0.45463
13.8;11.20819;8.60319;0.49528;0.65133;4.8752;0.60325;0.51976
13.9;11.70723;8.90355;0.51528;0.70133;4.91993;0.62884;0.5899
14.0;12.20801;9.20318;0.53528;0.75133;4.96441;0.65862;0.66503
14.1;12.70827;9.50244;0.55528;0.80133;5.0081;0.69288;0.74516
14.2;13.2078;9.80318;0.57528;0.85133;5.05038;0.73189;0.8303
14.3;13.7077;10.10288;0.59528;0.90133;5.09054;0.77583;0.92043
14.4;14.20818;10.40295;0.61528;0.95133;5.1278;0.8248;1.01556
14.5;14.70953;10.70269;0.63528;1.00133;5.16128;0.87878;1.1157
14.6;15.20881;11.00357;0.65528;1.05133;5.19009;0.93764;1.22083
14.7;15.67051;11.34086;0.67528;1.08262;5.21324;1.00107;1.32909
14.8;15.9705;11.84032;0.69528;1.03262;5.22988;1.06858;1.43236
14.9;16.27054;12.34059;0.71528;0.98262;5.23975;1.13942;1.53062
15.0;16.57089;12.84039;0.73528;0.93262;5.24271;1.21289;1.62388
15.1;16.87063;13.33985;0.75528;0.88262;5.2387;1.28831;1.71214
15.2;17.17023;13.83977;0.77528;0.83262;5.22778;1.36507;1.7954
15.3;17.47057;14.34023;0.79528;0.78262;5.21006;1.4426;1.87367
15.4;17.46496;14.53491;0.8;0.73262;5.1862;1.51896;1.94693
15.5;17.36426;14.63414;0.8;0.68262;5.15682;1.59336;2.01519
15.6;17.26497;14.73606;0.8;0.63262;5.12242;1.66559;2.07845
15.7;17.16492;14.83533;0.8;0.58262;5.08353;1.73551;2.13672
15.8;17.06528;14.93485;0.8;0.53262;5.04064;1.80303;2.18998
15.9;16.96523;15.03527;0.8;0.48262;4.99421;1.86818;2.23824
16.0;16.86501;15.13477;0.8;0.43262;4.94469;1.93101;2.2815
16.1;16.76479;15.23467;0.8;0.38262;4.8925;1.99165;2.31977
16.2;16.66563;15.33533;0.8;0.33262;4.83803;2.05024;2.35303
16.3;16.56448;15.43592;0.8;0.28262;4.78164;2.10698;2.38129
16.4;16.46518;15.5359;0.8;0.23262;4.72367;2.16212;2.40455
16.5;16.36442;15.63495;0.8;0.18262;4.66443;2.21588;2.42281
16.6;16.26569;15.73475;0.8;0.13262;4.60422;2.26856;2.43608
16.7;16.16394;15.83323;0.8;0.08262;4.54332;2.32043;2.44434
16.8;16.06534;15.93445;0.8;0.03262;4.48199;2.3718;2.4476
16.9;15.96491;16.03496;0.8;-0.01738;4.4205;2.42297;2.44586
17.0;15.86598;16.13546;0.8;-0.06738;4.35909;2.47425;2.43913
17.1;15.76475;16.23448;0.8;-0.11738;4.29803;2.52594;2.42739
17.2;15.66588;16.33477;0.8;-0.16738;4.23758;2.57834;2.41065
17.3;15.56427;16.435;0.8;-0.21738;4.17802;2.63174;2.38891
17.4;15.46518;16.53557;0.8;-0.26738;4.11963;2.68643;2.36218
17.5;15.36494;16.63412;0.8;-0.31738;4.06272;2.74266;2.33044
17.6;15.26476;16.73491;0.8;-0.36738;4.00763;2.80067;2.2937
17.7;15.16476;16.83578;0.8;-0.41738;3.9547;2.86066;2.25196
17.8;15.06554;16.93536;0.8;-0.46738;3.90433;2.9228;2.20522
17.9;14.96407;17.0353;0.8;-0.51738;3.85691;2.98724;2.15349
18.0;14.86577;17.13531;0.8;-0.56738;3.81289;3.05404;2.09675
18.1;14.76535;17.23536;0.8;-0.61738;3.77273;3.12322;2.03501
18.2;14.26577;16.93517;0.78;-0.66738;3.7378;3.19297;1.96827
18.3;13.76435;16.63358;0.76;-0.71738;3.70839;3.26304;1.89654
18.4;13.26528;16.33493;0.74;-0.76738;3.6847;3.33315;1.8198
18.5;12.7653;16.03499;0.72;-0.81738;3.66696;3.40293;1.73806
18.6;12.26526;15.73383;0.7;-0.86738;3.65531;3.47196;1.65132
18.7;11.76577;15.43437;0.68;-0.91738;3.64984;3.53974;1.55959
18.8;11.26569;15.13422;0.66;-0.96738;3.65058;3.60573;1.46285
18.9;10.76515;14.83434;0.64;-1.01738;3.65747;3.66936;1.36111
19.0;10.26551;14.53465;0.62;-1.06738;3.67038;3.73;1.25437
19.1;9.96477;14.03453;0.6;-1.01738;3.68905;3.78702;1.15263
19.2;9.66646;13.53408;0.58;-0.96738;3.7126;3.84002;1.0559
19.3;9.36587;13.03544;0.56;-0.91738;3.74018;3.88876;0.96416
19.4;9.06528;12.5339;0.54;-0.86738;3.77096;3.93313;0.87742
19.5;8.76557;12.0352;0.52;-0.81738;3.8042;3.97312;0.79568
19.6;8.46483;11.53395;0.5;-0.76738;3.83919;4.00884;0.71895
19.7;8.16485;11.035;0.48;-0.71738;3.87531;4.04045;0.64721
19.8;7.86484;10.53433;0.46;-0.66738;3.91201;4.06819;0.58047
19.9;7.56448;10.03478;0.44;-0.61738;3.9488;4.09232;0.51873
20.0;7.26524;9.53444;0.42;-0.56738;3.98527;4.11314;0.462
20.1;6.96486;9.03492;0.4;-0.51738;4.02108;4.13097;0.41026
20.2;6.66567;8.53501;0.38;-0.46738;4.05593;4.14613;0.36352
20.3;6.3647;8.03511;0.36;-0.41738;4.08957;4.15893;0.32178
20.4;6.06506;7.53546;0.34;-0.36738;4.12183;4.16968;0.28504
20.5;5.76541;7.0344;0.32;-0.31738;4.15254;4.17868;0.25331
20.6;5.46547;6.53528;0.3;-0.26738;4.18158;4.1862;0.22657
20.7;5.16492;6.03527;0.28;-0.21738;4.20887;4.19249;0.20483
20.8;4.8644;5.53484;0.26;-0.16738;4.23432;4.19777;0.18809
20.9;4.56576;5.03513;0.24;-0.11738;4.2579;4.20226;0.17636
21.0;4.26563;4.53444;0.22;-0.06738;4.27956;4.20612;0.16962
21.1;3.96529;4.03563;0.2;-0.01738;4.29927;4.2095;0.16788
21.2;3.66461;3.53494;0.18;0.03262;4.31702;4.21251;0.17114
21.3;3.57288;3.24296;0.17039;0.08262;4.33381;4.21541;0.17941
21.4;3.56122;3.03069;0.16478;0.13262;4.35002;4.21835;0.19267
21.5;3.55643;2.82589;0.15955;0.18262;4.36568;4.2214;0.21093
21.6;3.55869;2.62792;0.15464;0.23262;4.3808;4.22464;0.23419
21.7;3.5653;2.43624;0.15003;0.28262;4.3954;4.22812;0.26245
21.8;3.57775;2.24811;0.14565;0.33262;4.40946;4.2319;0.29572
21.9;3.59475;2.06531;0.14149;0.38262;4.423;4.23602;0.33398
22.0;3.61454;1.88471;0.13749;0.43262;4.43599;4.24053;0.37724
22.1;3.6369;1.70698;0.13362;0.48262;4.44841;4.24545;0.4255
22.2;3.66222;1.53149;0.12986;0.53262;4.46024;4.25081;0.47877
22.3;3.68849;1.35872;0.12617;0.58262;4.47143;4.25663;0.53703
22.4;3.71522;1.18598;0.12252;0.63262;4.48196;4.26289;0.60029
22.5;3.74214;1.01277;0.1189;0.68262;4.49177;4.26961;0.66855
22.6;3.76988;0.83999;0.11527;0.73262;4.50082;4.27676;0.74182
22.7;3.79836;0.66765;0.11162;0.78262;4.50905;4.2843;0.82008
22.8;3.82381;0.49379;0.10795;0.83262;4.51641;4.29219;0.90334
22.9;3.85048;0.3184;0.10423;0.88262;4.52286;4.30038;0.9916
23.0;3.87407;0.14451;0.10046;0.93262;4.52836;4.30878;1.08486
23.1;3.89836;-0.03298;0.09665;0.98262;4.53288;4.31733;1.18313
23.2;3.92073;-0.2082;0.0928;1.03262;4.53638;4.32592;1.28639
23.3;3.74441;-0.18688;0.08892;0.98262;4.53888;4.33446;1.38465
23.4;3.5657;-0.16436;0.08502;0.93262;4.54045;4.34281;1.47791
23.5;3.38909;-0.14262;0.08115;0.88262;4.54121;4.35089;1.56618
23.6;3.21182;-0.11856;0.07735;0.83262;4.54124;4.35863;1.64944
23.7;3.03774;-0.0921;0.07363;0.78262;4.54066;4.36597;1.7277
23.8;2.86567;-0.06546;0.07003;0.73262;4.53957;4.37289;1.80096
23.9;2.69696;-0.03443;0.06657;0.68262;4.53805;4.37937;1.86923
24.0;2.53096;-0.0002;0.06325;0.63262;4.53619;4.38541;1.93249
24.1;2.36647;0.03529;0.06008;0.58262;4.53406;4.39103;1.99075
24.2;2.20698;0.07687;0.05708;0.53262;4.53174;4.39624;2.04401
24.3;2.04999;0.1194;0.05425;0.48262;4.52926;4.40107;2.09227
24.4;1.89703;0.16631;0.05158;0.43262;4.52669;4.40555;2.13554
24.5;2.39653;0.46674;0.07158;0.48262;4.52286;4.41159;2.1838
24.6;2.89674;0.76697;0.09158;0.53262;4.51759;4.41908;2.23706
24.7;3.39787;1.06611;0.11158;0.58262;4.5107;4.42785;2.29532
24.8;3.89646;1.36641;0.13158;0.63262;4.50198;4.43771;2.35859
24.9;4.39759;1.66627;0.15158;0.68262;4.49123;4.4484;2.42685
25.0;4.89773;1.96623;0.17158;0.73262;4.47827;4.45965;2.50011
25.1;5.39696;2.26678;0.19158;0.78262;4.46292;4.47111;2.57837
25.2;5.897;2.56681;0.21158;0.83262;4.44503;4.48241;2.66164
25.3;6.39767;2.86695;0.23158;0.88262;4.42449;4.4931;2.7499
25.4;6.69693;3.36767;0.25158;0.83262;4.40124;4.5027;2.83316
25.5;6.99635;3.86693;0.27158;0.78262;4.37536;4.51095;2.91142
25.6;7.2968;4.36693;0.29158;0.73262;4.34697;4.5176;2.98468
25.7;7.59701;4.86635;0.31158;0.68262;4.3162;4.52247;3.05295
25.8;7.89669;5.36605;0.33158;0.63262;4.28317;4.52541;3.11621
25.9;8.19676;5.86651;0.35158;0.58262;4.24802;4.5263;3.17447
26.0;8.49739;6.36679;0.37158;0.53262;4.21088;4.52508;3.22773
26.1;8.79716;6.86675;0.39158;0.48262;4.17187;4.52171;3.276
26.2;9.09726;7.36553;0.41158;0.43262;4.13108;4.51619;3.31926
26.3;9.39662;7.86663;0.43158;0.38262;4.08861;4.50856;3.35752
26.4;9.69689;8.36735;0.45158;0.33262;4.0445;4.49889;3.39078
26.5;9.99702;8.86636;0.47158;0.28262;3.99879;4.48726;3.41905
26.6;10.29737;9.36608;0.49158;0.23262;3.95152;4.47379;3.44231
26.7;10.59704;9.86615;0.51158;0.18262;3.90265;4.45864;3.46057
26.8;10.89672;10.36602;0.53158;0.13262;3.85218;4.44197;3.47383
26.9;11.1977;10.86715;0.55158;0.08262;3.80004;4.42398;3.48209
27.0;11.49708;11.36643;0.57158;0.03262;3.74616;4.40489;3.48536
27.1;11.79637;11.86708;0.59158;-0.01738;3.69046;4.38495;3.48362
27.2;12.09603;12.36679;0.61158;-0.06738;3.63285;4.36444;3.47688
27.3;12.39723;12.86664;0.63158;-0.11738;3.5732;4.34366;3.46514
27.4;12.69629;13.3661;0.65158;-0.16738;3.51143;4.32294;3.44841
27.5;12.99713;13.86703;0.67158;-0.21738;3.4474;4.30266;3.42667
27.6;13.29662;14.36554;0.69158;-0.26738;3.38104;4.28321;3.39993
27.7;13.59676;14.86644;0.71158;-0.31738;3.31224;4.26503;3.36819
27.8;13.89699;15.36659;0.73158;-0.36738;3.24095;4.2486;3.33146
27.9;14.19618;15.86623;0.75158;-0.41738;3.16715;4.23441;3.28972
28.0;14.49694;16.36725;0.77158;-0.46738;3.09083;4.22302;3.24298
28.1;14.99721;16.6669;0.79158;-0.41738;3.01208;4.21501;3.20124
28.2;15.26567;16.73456;0.8;-0.36738;2.93222;4.21024;3.1645
28.3;15.36517;16.63427;0.8;-0.31738;2.85224;4.20841;3.13277
28.4;15.46462;16.53433;0.8;-0.26738;2.77225;4.20912;3.10603
28.5;15.56431;16.43431;0.8;-0.21738;2.6923;4.21196;3.08429
28.6;15.666;16.33599;0.8;-0.16738;2.61243;4.21654;3.06755
28.7;15.76267;16.23822;0.8;-0.1187;2.53265;4.22246;3.05568
28.8;15.80028;16.19898;0.8;-0.09959;2.45294;4.22932;3.04573
28.9;15.83262;16.16788;0.8;-0.08371;2.37331;4.23698;3.03735
29.0;15.85879;16.14069;0.8;-0.07051;2.29374;4.24531;3.0303
29.1;15.88074;16.11973;0.8;-0.05952;2.21424;4.25419;3.02435
29.2;15.89943;16.10033;0.8;-0.05036;2.13479;4.26355;3.01932
29.3;15.91455;16.08472;0.8;-0.04273;2.05539;4.27331;3.01504
29.4;15.64579;15.79072;0.78591;-0.03636;1.97742;4.28322;3.01141
29.5;15.25567;15.38059;0.76591;-0.031;1.90148;4.29317;3.00831
29.6;14.86494;14.97048;0.74591;-0.02648;1.82755;4.30308;3.00566
29.7;14.47362;14.56254;0.72591;-0.02265;1.75563;4.31292;3.00339
29.8;14.07938;14.15745;0.70591;-0.01942;1.68571;4.32264;3.00145
29.9;13.68482;13.75276;0.68591;-0.01668;1.61779;4.33222;2.99978
