t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.00635;2.918829;-2.766354;0.984240;3.713864;5.195352;0.310591;3.720254;5.194604;0.318313;0.000000;-0.000000;-0.000388;0.059529;8.001196;38.154794
0.02138;2.918829;-2.766354;0.984240;3.730401;5.185540;0.299852;3.730787;5.174320;0.291134;0.000000;-0.000000;-0.033431;0.056168;7.982079;39.712014
0.03777;2.918829;-2.766354;0.984240;3.736758;5.173152;0.256079;3.745862;5.193151;0.259629;0.000000;-0.000000;-0.009482;0.080469;8.002356;41.517153
0.05483;2.918829;-2.766354;0.984240;3.724714;5.186404;0.295570;3.719741;5.193333;0.288253;0.000000;-0.000000;0.002695;0.020550;7.999880;39.877063
0.07104;2.918829;-2.766354;0.984240;3.730052;5.176159;0.262541;3.732942;5.186748;0.263417;0.000000;-0.000000;-0.035583;-0.028768;7.994662;41.300111
0.08679;2.918829;-2.766354;0.984240;3.705309;5.208164;0.296056;3.715415;5.199022;0.284422;0.000000;-0.000000;-0.019685;0.020530;8.005109;40.096572
0.10401;2.918829;-2.766354;0.984240;3.726123;5.201666;0.296624;3.729201;5.188502;0.295967;0.000000;-0.000000;0.024564;0.035162;7.996026;39.435113
0.12102;2.918829;-2.766354;0.984240;3.708214;5.197063;0.276500;3.727274;5.197631;0.282391;0.000000;-0.000000;0.050905;-0.052943;8.004913;40.212947
0.13658;2.918829;-2.766354;0.984240;3.738936;5.204461;0.306619;3.721528;5.189572;0.297878;0.000000;-0.000000;-0.020813;0.024483;7.996318;39.325601
0.15330;2.918829;-2.766354;0.984240;3.727263;5.176705;0.282231;3.720720;5.181524;0.279399;0.000000;-0.000000;0.005595;0.066664;7.988229;40.384405
0.16958;2.918829;-2.766354;0.984240;3.734090;5.178090;0.316186;3.720947;5.196704;0.318720;0.000000;-0.000000;-0.012349;-0.008319;8.003355;38.131434
0.18601;2.918829;-2.766354;0.984240;3.729580;5.176750;0.319616;3.715422;5.182673;0.326069;0.000000;-0.000000;-0.004074;0.021355;7.988842;37.710368
0.20242;2.918829;-2.766354;0.984240;3.733348;5.193173;0.323191;3.722297;5.199627;0.328721;0.000000;-0.000000;0.014795;0.023058;8.006398;37.558470
0.21913;2.918829;-2.766354;0.984240;3.711126;5.188564;0.320581;3.742200;5.192815;0.292771;0.000000;-0.000000;-0.042267;-0.014439;8.001644;39.618230
0.23497;2.918829;-2.766354;0.984240;3.729544;5.195616;0.246418;3.719810;5.172161;0.256198;0.000000;-0.000000;0.003106;0.041313;7.978822;41.713694
0.25166;2.918829;-2.766354;0.984240;3.720498;5.179106;0.244639;3.716750;5.187046;0.264772;0.000000;-0.000000;-0.035193;0.066348;7.993326;41.222436
0.26696;2.918829;-2.766354;0.984240;3.738730;5.196874;0.290464;3.732984;5.180225;0.293629;0.000000;-0.000000;0.024769;-0.038077;7.988177;39.569063
0.28415;2.918829;-2.766354;0.984240;3.724521;5.180566;0.284714;3.719355;5.180245;0.270119;0.000000;-0.000000;0.005952;-0.076406;7.986819;40.916087
0.30031;2.918829;-2.766354;0.984240;3.725541;5.181650;0.256484;3.722707;5.192233;0.247880;0.000000;-0.000000;0.003887;-0.072865;7.999083;42.190310
0.31672;2.918829;-2.766354;0.984240;3.731259;5.185980;0.255237;3.728398;5.173388;0.236586;0.000000;-0.000000;0.018123;-0.008838;7.980909;42.837389
0.33316;2.918829;-2.766354;0.984240;3.732480;5.183817;0.257483;3.726452;5.205969;0.247993;0.000000;-0.000000;-0.008706;0.061580;8.013126;42.183810
0.35007;2.918829;-2.766354;0.984240;3.742753;5.199501;0.300548;3.717341;5.191409;0.297740;0.000000;-0.000000;-0.014367;-0.036951;7.997726;39.333502
0.36619;2.918829;-2.766354;0.984240;3.728783;5.185682;0.309379;3.726602;5.181345;0.320146;0.000000;-0.000000;-0.031724;0.033974;7.988644;38.049782
0.38220;2.918829;-2.766354;0.984240;3.722001;5.182428;0.357347;3.724178;5.189674;0.370822;0.000000;-0.000000;-0.011032;-0.049239;7.996685;35.146236
0.39951;2.918829;-2.766354;0.984240;3.727249;5.185639;0.362088;3.714445;5.204295;0.351509;0.000000;-0.000000;-0.004848;0.030393;8.010259;36.252789
0.41395;2.918829;-2.766354;0.984240;3.716272;5.197091;0.353426;3.716887;5.193881;0.327228;0.000000;-0.000000;0.014194;0.048451;8.000140;37.643970
0.43244;2.918829;-2.766354;0.984240;3.725571;5.195993;0.316624;3.717549;5.170607;0.316522;0.000000;-0.000000;-0.023241;0.000457;7.977049;38.257410
0.44702;2.918829;-2.766354;0.984240;3.740887;5.190804;0.334875;3.729755;5.182218;0.315727;0.000000;-0.000000;0.041952;-0.050710;7.989831;38.302951
0.46350;2.918829;-2.766354;0.984240;3.721302;5.181957;0.324588;3.735185;5.193035;0.312172;0.000000;-0.000000;-0.036307;-0.025660;8.001145;38.506632
0.47966;2.918829;-2.766354;0.984240;3.718593;5.187915;0.330514;3.716406;5.186123;0.339328;0.000000;-0.000000;0.000161;0.002185;7.992373;36.950714
