t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.00486;-1.381555;-2.709985;-0.569338;-1.375488;-2.743452;-0.598483;-1.407668;-2.772161;-0.538204;0.000000;0.000000;-0.021554;0.015430;0.067437;1.783865
0.01966;-1.381555;-2.709985;-0.569338;-1.457545;-2.716388;-0.553839;-1.454524;-2.748772;-0.505367;0.000000;0.000000;-0.005770;-0.081271;0.082638;3.665278
0.03652;-1.381555;-2.709985;-0.569338;-1.391939;-2.709956;-0.493011;-1.419191;-2.818204;-0.625068;0.000000;0.000000;-0.008371;0.063935;0.114577;3.193071
0.05137;-1.381555;-2.709985;-0.569338;-1.338136;-2.785246;-0.607324;-1.394027;-2.862142;-0.714242;0.000000;0.000000;-0.026493;-0.015976;0.152667;8.302347
0.06794;-1.381555;-2.709985;-0.569338;-1.397658;-2.777229;-0.765552;-1.388041;-2.757602;-0.755594;0.000000;0.000000;0.021392;-0.001617;0.048056;10.671684
0.08474;-1.381555;-2.709985;-0.569338;-1.361061;-2.769919;-0.748235;-1.369254;-2.781419;-0.755171;0.000000;0.000000;0.002735;0.018867;0.072486;10.647431
0.10203;-1.381555;-2.709985;-0.569338;-1.331498;-2.751051;-0.660398;-1.364371;-2.731352;-0.659015;0.000000;0.000000;-0.021689;-0.005668;0.027420;5.138082
0.11762;-1.381555;-2.709985;-0.569338;-1.393495;-2.744276;-0.638822;-1.393449;-2.730382;-0.646861;0.000000;0.000000;0.006282;-0.029719;0.023612;4.441739
0.13709;-1.381555;-2.709985;-0.569338;-1.407127;-2.758928;-0.621422;-1.410331;-2.810758;-0.697771;0.000000;0.000000;0.011609;0.001073;0.104801;7.358672
0.15159;-1.381555;-2.709985;-0.569338;-1.385510;-2.753636;-0.690054;-1.385274;-2.728897;-0.682311;0.000000;0.000000;-0.015822;-0.068183;0.019274;6.472870
0.16769;-1.381555;-2.709985;-0.569338;-1.373728;-2.729816;-0.693576;-1.372596;-2.714024;-0.704090;0.000000;0.000000;-0.007754;-0.081778;0.009827;7.720717
0.18456;-1.381555;-2.709985;-0.569338;-1.380899;-2.729305;-0.655338;-1.380766;-2.724014;-0.644721;0.000000;0.000000;-0.006130;-0.049837;0.014051;4.319078
0.20026;-1.381555;-2.709985;-0.569338;-1.353756;-2.725695;-0.630484;-1.349818;-2.769010;-0.643535;0.000000;0.000000;-0.011435;-0.000234;0.067017;4.251163
0.21782;-1.381555;-2.709985;-0.569338;-1.356087;-2.789465;-0.576939;-1.368071;-2.776254;-0.549585;0.000000;0.000000;0.001253;-0.042821;0.067627;1.131783
0.23358;-1.381555;-2.709985;-0.569338;-1.377515;-2.712507;-0.532114;-1.381528;-2.710396;-0.526218;0.000000;0.000000;0.014158;0.008787;0.000412;2.470621
0.24958;-1.381555;-2.709985;-0.569338;-1.385610;-2.717447;-0.466795;-1.385312;-2.716312;-0.468573;0.000000;0.000000;-0.022457;-0.007174;0.007359;5.773424
0.26640;-1.381555;-2.709985;-0.569338;-1.475263;-2.760341;-0.541213;-1.450107;-2.757743;-0.454407;0.000000;0.000000;0.033770;-0.002326;0.083548;6.585076
0.28268;-1.381555;-2.709985;-0.569338;-1.402110;-2.721601;-0.451297;-1.391835;-2.708282;-0.464711;0.000000;0.000000;-0.006869;-0.005574;0.010420;5.994727
0.29883;-1.381555;-2.709985;-0.569338;-1.407655;-2.759349;-0.554567;-1.395428;-2.739462;-0.561094;0.000000;0.000000;-0.020242;0.018494;0.032578;0.472357
0.31542;-1.381555;-2.709985;-0.569338;-1.386839;-2.705552;-0.557813;-1.402212;-2.719369;-0.577160;0.000000;0.000000;-0.018484;0.057736;0.022689;0.448131
0.33273;-1.381555;-2.709985;-0.569338;-1.380968;-2.705987;-0.575779;-1.373606;-2.725724;-0.570708;0.000000;0.000000;0.008045;0.051324;0.017632;0.078499
0.34854;-1.381555;-2.709985;-0.569338;-1.380496;-2.704393;-0.516263;-1.337035;-2.710252;-0.539412;0.000000;0.000000;-0.004733;0.000860;0.044521;1.714641
0.36537;-1.381555;-2.709985;-0.569338;-1.382901;-2.733037;-0.562846;-1.376464;-2.741667;-0.575169;0.000000;0.000000;-0.031264;0.074124;0.032088;0.334060
0.38197;-1.381555;-2.709985;-0.569338;-1.387567;-2.739700;-0.553912;-1.402735;-2.745318;-0.566149;0.000000;0.000000;-0.014169;-0.011899;0.041195;0.182755
0.39890;-1.381555;-2.709985;-0.569338;-1.431575;-2.718653;-0.550795;-1.456709;-2.749458;-0.619973;0.000000;0.000000;0.029263;-0.020019;0.084890;2.901175
0.41547;-1.381555;-2.709985;-0.569338;-1.407226;-2.731801;-0.526213;-1.401782;-2.728264;-0.537155;0.000000;0.000000;-0.015763;-0.084508;0.027263;1.843989
0.43288;-1.381555;-2.709985;-0.569338;-1.426615;-2.755510;-0.569254;-1.403149;-2.740818;-0.575537;0.000000;0.000000;-0.013182;0.062433;0.037642;0.355138
0.44946;-1.381555;-2.709985;-0.569338;-1.393146;-2.701601;-0.607244;-1.357855;-2.702214;-0.633261;0.000000;0.000000;0.012343;-0.026588;0.024941;3.662485
0.46697;-1.381555;-2.709985;-0.569338;-1.362815;-2.784705;-0.583678;-1.359759;-2.763775;-0.585226;0.000000;0.000000;0.026837;-0.015222;0.058038;0.910299
0.48304;-1.381555;-2.709985;-0.569338;-1.419406;-2.740287;-0.591314;-1.423720;-2.766623;-0.542477;0.000000;0.000000;0.014620;0.001105;0.070610;1.539063
