t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.22203;0.000500;0.000000;0.001250;2.749377;0.069854;0.546231;-0.234520;-0.030447;0.214867;0.250000;0.500000;0.250000;0.500000;0.236984;12.239335
0.43790;0.001500;0.000001;0.001250;-0.210394;-0.026872;0.079368;-0.075514;-0.002457;-0.023711;0.059122;-0.128642;0.059122;-0.128642;0.077053;1.430158
0.50376;0.003000;0.000003;0.002500;0.193577;-0.012156;-0.048347;0.210239;-0.021263;-0.073420;0.250000;0.035932;0.250000;0.035932;0.208328;4.349882
0.57362;0.005000;0.000008;0.005000;0.449794;-0.030970;-0.007584;0.319019;-0.044832;0.027357;0.250000;0.113388;0.250000;0.113388;0.317204;1.280950
0.64311;0.007500;0.000021;0.006250;0.530590;-0.036502;0.051346;0.359271;-0.051069;0.036478;0.250000;-0.034089;0.250000;-0.034089;0.355462;1.731924
0.70905;0.010500;0.000039;0.006250;0.617066;-0.052007;-0.043757;0.402501;-0.073910;-0.109157;0.250000;-0.046771;0.250000;-0.046771;0.398916;6.612339
0.77814;0.014000;0.000061;0.007500;0.646433;-0.086089;0.009385;0.436823;-0.076229;0.105070;0.250000;0.175287;0.250000;0.175287;0.429651;5.590365
0.85204;0.018000;0.000091;0.007500;0.698365;-0.059946;0.019284;0.465401;-0.064965;-0.068689;0.250000;-0.145649;0.250000;-0.145649;0.452107;4.365315
0.92220;0.022500;0.000125;0.008750;0.675899;-0.074960;-0.026210;0.428112;-0.068091;0.008059;0.250000;0.113254;0.250000;0.113254;0.411309;0.039582
0.99061;0.027499;0.000169;0.008750;0.678536;-0.069181;-0.016766;0.445743;-0.068006;-0.036815;0.250000;-0.001418;0.250000;-0.001418;0.423763;2.610689
1.05968;0.032999;0.000217;0.010000;0.696858;-0.068135;0.035792;0.459311;-0.089327;0.077319;0.250000;0.065899;0.250000;0.065899;0.435614;3.857121
1.12883;0.038999;0.000277;0.010000;0.757202;-0.080820;-0.020220;0.519535;-0.083086;-0.102652;0.250000;-0.101936;0.250000;-0.101936;0.487714;6.454474
1.19716;0.045499;0.000342;0.011250;0.745800;-0.094562;0.001303;0.471173;-0.091523;0.076696;0.250000;0.167123;0.250000;0.167123;0.435474;3.749757
1.26573;0.052498;0.000421;0.011250;0.708138;-0.085176;-0.023139;0.462695;-0.080058;-0.116415;0.250000;-0.100637;0.250000;-0.100637;0.418017;7.314654
