t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.00543;1.273040;-14.910274;-0.644739;-3.404041;17.041535;-1.598858;-3.407774;17.042764;-1.576251;0.249872;-0.038429;0.273960;-0.122495;32.294066;53.371690
0.01944;1.322605;-14.948117;-0.663907;-3.383464;17.033138;-1.569455;-3.385613;17.033575;-1.550764;0.249445;-0.079985;0.216642;-0.038786;32.326397;50.813163
0.03672;1.371194;-14.986993;-0.691517;-3.376072;17.018085;-1.561353;-3.373959;17.025080;-1.548313;0.248916;-0.111805;0.239160;-0.135634;32.361850;49.090759
0.05391;1.418651;-15.027215;-0.720370;-3.356416;16.984960;-1.556215;-3.354179;17.001543;-1.553883;0.248845;-0.115412;0.241807;-0.115398;32.382422;47.756746
0.06917;1.464971;-15.068781;-0.747844;-3.312200;16.999755;-1.530491;-3.331860;16.999700;-1.543264;0.248952;-0.109895;0.252338;-0.074684;32.425254;45.574188
0.08686;1.510021;-15.111619;-0.778808;-3.321666;16.999722;-1.554613;-3.316048;17.017214;-1.551871;0.248670;-0.123856;0.245842;-0.050784;32.489273;44.293259
0.10278;1.553800;-15.155823;-0.807386;-3.296473;16.998557;-1.600457;-3.292369;17.019388;-1.577038;0.248867;-0.114312;0.270850;-0.201595;32.538125;44.097826
0.11876;1.596508;-15.201237;-0.828929;-3.273183;16.994856;-1.621361;-3.275692;16.997747;-1.606827;0.249367;-0.085385;0.212181;-0.223239;32.565517;44.570304
0.13540;1.638448;-15.247500;-0.842075;-3.256056;16.967914;-1.552790;-3.253184;16.989388;-1.538775;0.249777;-0.050634;0.233365;-0.068921;32.605904;39.917969
0.15116;1.679348;-15.294244;-0.870525;-3.255789;16.952473;-1.525397;-3.252519;16.980638;-1.514975;0.248453;-0.133553;0.243138;-0.138090;32.649523;36.924278
0.16793;1.718489;-15.342232;-0.910890;-3.242273;16.948137;-1.525701;-3.232509;16.974346;-1.527824;0.247720;-0.162186;0.247684;-0.181405;32.693632;35.347742
0.18463;1.755783;-15.391790;-0.947860;-3.204401;17.001405;-1.517779;-3.211447;17.009329;-1.528537;0.248104;-0.147880;0.226934;-0.163248;32.779656;33.270371
0.20021;1.791218;-15.442692;-0.984863;-3.172779;16.981244;-1.521608;-3.192397;16.993498;-1.533437;0.248101;-0.148013;0.259539;-0.180906;32.816808;31.430958
0.21645;1.824787;-15.494880;-1.020672;-3.165695;16.958399;-1.580463;-3.165868;16.955454;-1.565558;0.248221;-0.143236;0.256422;-0.103891;32.831857;31.219645
0.23316;1.856741;-15.548306;-1.047844;-3.173542;16.903077;-1.575074;-3.156918;16.927049;-1.548096;0.249020;-0.106301;0.218632;-0.166653;32.860089;28.662308
0.24963;1.887087;-15.602536;-1.079812;-3.140114;16.899446;-1.544602;-3.146430;16.884937;-1.561782;0.248582;-0.127870;0.268199;-0.027371;32.875100;27.614886
0.26660;1.915808;-15.657736;-1.107864;-4.413371;16.501776;3.087229;-4.504884;16.387582;3.092124;0.248908;-0.112210;0.212979;-0.062215;32.682223;119.358379
0.28326;1.939954;-15.706848;-1.117167;-4.619823;16.132297;-3.140093;-4.600905;16.108931;3.101662;0.050000;0.800000;0.047234;0.836135;32.481173;118.278908
0.30039;1.958680;-15.744695;-1.095219;-4.607846;16.016265;-3.135799;-4.612330;16.020594;3.110467;0.050000;0.800000;0.048069;0.818520;32.437814;119.031913
0.31790;1.972739;-15.770884;-1.042022;-4.637262;15.967238;-3.139062;-4.635179;15.985210;3.094508;0.050000;0.800000;0.044461;0.758928;32.436308;122.994279
0.33511;1.981849;-15.785564;-0.957574;-4.643366;15.955555;3.122813;-4.632345;15.948391;3.126873;0.050000;0.800000;0.055802;0.788928;32.415914;125.978388
0.35107;1.989480;-15.795457;-0.841877;-4.598182;15.972550;-3.127116;-4.593254;15.970512;3.085079;0.050000;0.800000;0.038846;0.824135;32.440857;135.001990
0.36760;1.998310;-15.804290;-0.694929;-4.612924;15.937716;3.132568;-4.595679;15.931702;3.108217;0.050000;0.800000;0.045825;0.844831;32.413791;142.095737
0.38519;2.008426;-15.811607;-0.516732;-4.609745;15.935323;3.114198;-5.304683;15.794060;3.136987;0.050000;0.800000;0.040349;0.807748;32.440710;150.657295
0.40141;2.019732;-15.816891;-0.317343;-5.915401;15.358543;-2.721894;-5.930126;15.313068;-2.635947;0.050000;0.800000;0.032236;0.654176;32.129031;132.846242
0.41688;2.039187;-15.821392;-0.117343;-5.959056;15.138957;-2.004777;-5.957736;15.116212;-1.902819;0.110962;0.800000;0.145490;0.799045;31.954438;102.300286
0.43366;2.071622;-15.822581;0.063907;-5.970569;15.062027;-1.551165;-5.966892;15.074679;-1.485679;0.232203;0.455517;0.194572;0.398373;31.925826;88.784749
0.45055;2.116202;-15.816762;0.213907;-5.931804;15.057786;-1.353146;-5.921560;15.069280;-1.340594;0.249829;-0.044388;0.271689;0.036428;31.914780;89.066363
