t_sec;x_true;y_true;theta_true;x_pred;y_pred;theta_pred;x_est;y_est;theta_est;v_cmd;w_cmd;v_meas;w_meas;pos_err_m;heading_err_deg
0.00100;0.140671;-0.438439;-1.540950;1.858991;5.532910;-2.151983;1.866106;5.511606;-2.140635;0.249994;0.008637;0.237004;0.064634;6.195172;34.359368
0.01503;0.141044;-0.450933;-1.541477;1.859276;5.500949;-2.140868;1.848212;5.508528;-2.143785;0.249990;-0.010534;0.253174;-0.004678;6.199160;34.509724
0.03097;0.141411;-0.463427;-1.541751;1.841447;5.498010;-2.141047;1.856064;5.521027;-2.125518;0.249997;-0.005481;0.250121;0.054760;6.225249;33.447368
0.04729;0.141774;-0.475919;-1.543120;1.849567;5.510574;-2.128336;1.863775;5.514247;-2.109482;0.249935;-0.027378;0.246162;-0.056360;6.232766;32.450133
0.06281;0.142119;-0.488404;-1.545500;1.857076;5.503046;-2.110158;1.858820;5.514723;-2.088405;0.249803;-0.047593;0.261024;-0.013525;6.243764;31.106186
0.07987;0.142435;-0.500877;-1.549123;1.853466;5.505331;-2.089403;1.871959;5.522816;-2.073511;0.249544;-0.072463;0.216218;-0.019964;6.267067;30.045245
0.09591;0.142705;-0.513338;-1.553671;1.865874;5.511868;-2.082684;1.869946;5.513128;-2.076610;0.249282;-0.090964;0.250500;-0.183448;6.269103;29.962190
0.11361;0.142919;-0.525803;-1.558051;1.863968;5.502397;-2.081489;1.867609;5.510913;-2.087238;0.249334;-0.087591;0.245678;-0.097583;6.278256;30.320219
0.12914;0.143078;-0.538278;-1.561789;1.861711;5.500561;-2.090029;1.863372;5.513802;-2.068999;0.249515;-0.074766;0.238293;-0.055814;6.291827;29.060981
0.14517;0.143190;-0.550737;-1.566597;1.856546;5.501317;-2.073299;1.851226;5.525341;-2.071886;0.249198;-0.096163;0.284584;-0.085999;6.311586;28.950902
0.16219;0.143242;-0.563201;-1.571153;1.845118;5.514224;-2.074539;1.857952;5.522888;-2.066299;0.249280;-0.091125;0.253695;-0.053068;6.323030;28.369755
0.17781;0.143238;-0.575659;-1.576078;1.852614;5.513008;-2.065978;1.873577;5.512604;-2.063597;0.249158;-0.098495;0.224596;0.006422;6.329378;27.932794
0.19508;0.143172;-0.588113;-1.581254;1.867747;5.501819;-2.069180;1.866794;5.497429;-2.056667;0.249070;-0.103524;0.245209;-0.111661;6.324926;27.239152
0.21125;0.143042;-0.600557;-1.586859;1.861053;5.486623;-2.061717;1.878233;5.501752;-2.061459;0.248910;-0.112092;0.244731;-0.101004;6.344215;27.192577
0.22786;0.142842;-0.613006;-1.592210;1.872234;5.490580;-2.065748;1.885187;5.493995;-2.068276;0.249006;-0.107030;0.253602;-0.085788;6.350688;27.276537
0.24498;0.142575;-0.625460;-1.597201;1.879284;5.483196;-2.073768;1.871032;5.476249;-2.070001;0.249136;-0.099813;0.246143;-0.109849;6.341799;27.089448
0.25959;0.142246;-0.637914;-1.602078;1.865333;5.465838;-2.073178;1.877792;5.478939;-2.053560;0.249175;-0.097541;0.237381;-0.063539;6.358303;25.868017
0.27711;0.141857;-0.650348;-1.607962;1.871966;5.467940;-2.062246;1.879472;5.479087;-2.044715;0.248799;-0.117670;0.248925;-0.173709;6.370972;25.024122
0.29276;0.141395;-0.662768;-1.614382;1.873682;5.467854;-2.048667;1.865076;5.466349;-2.065063;0.248570;-0.128411;0.252756;-0.079042;6.366879;25.822101
0.30944;0.140853;-0.675210;-1.619558;1.858280;5.453829;-2.071111;1.869574;5.472124;-2.037933;0.249071;-0.103510;0.284903;-0.120963;6.385780;23.971146
0.32758;0.140247;-0.687615;-1.625983;1.864014;5.461227;-2.047308;1.886934;5.461930;-2.036901;0.248393;-0.136123;0.244655;-0.187499;6.392794;23.543847
0.34259;0.139562;-0.700012;-1.632948;1.881233;5.450648;-2.040452;1.871289;5.470147;-2.027652;0.248318;-0.139288;0.252817;-0.071033;6.408568;22.614917
0.35961;0.138792;-0.712392;-1.640383;1.865699;5.458932;-2.038694;1.859074;5.472891;-2.028040;0.248083;-0.148701;0.250626;-0.220831;6.420054;22.211131
0.37639;0.137929;-0.724768;-1.647738;1.854109;5.462904;-2.036420;1.869973;5.483757;-2.029862;0.248124;-0.147113;0.223066;-0.167605;6.445600;21.894095
0.39203;0.136976;-0.737140;-1.655000;1.864402;5.472618;-2.039216;1.855133;5.487318;-2.037040;0.248171;-0.145229;0.249090;-0.187071;6.457239;21.889329
0.40805;0.135931;-0.749517;-1.661762;1.848836;5.474882;-2.042026;1.860936;5.457333;-2.030839;0.248414;-0.135239;0.278781;-0.099712;6.442098;21.146558
0.42422;0.134804;-0.761875;-1.668998;1.854929;5.445374;-2.041733;1.858628;5.463205;-2.036609;0.248184;-0.144721;0.267670;-0.217895;6.459349;21.062567
0.44124;0.133586;-0.774233;-1.675863;1.853161;5.452392;-2.041118;1.854855;5.444709;-2.044986;0.248365;-0.137303;0.242330;-0.090186;6.452752;21.149182
